"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] StringAttributeComparatorJaccard.scientificName record1Value","[0] StringAttributeComparatorJaccard.scientificName record2Value","[0] StringAttributeComparatorJaccard.scientificName record1PreprocessedValue","[0] StringAttributeComparatorJaccard.scientificName record2PreprocessedValue","[0] StringAttributeComparatorJaccard.scientificName similarity","[0] StringAttributeComparatorJaccard.scientificName postproccesedSimilarity","[1] StringAttributeComparatorLevenshtein.scientificName record1Value","[1] StringAttributeComparatorLevenshtein.scientificName record2Value","[1] StringAttributeComparatorLevenshtein.scientificName record1PreprocessedValue","[1] StringAttributeComparatorLevenshtein.scientificName record2PreprocessedValue","[1] StringAttributeComparatorLevenshtein.scientificName similarity","[1] StringAttributeComparatorLevenshtein.scientificName postproccesedSimilarity","[2] StringAttributeComparatorEqual.Category record1Value","[2] StringAttributeComparatorEqual.Category record2Value","[2] StringAttributeComparatorEqual.Category record1PreprocessedValue","[2] StringAttributeComparatorEqual.Category record2PreprocessedValue","[2] StringAttributeComparatorEqual.Category similarity","[2] StringAttributeComparatorEqual.Category postproccesedSimilarity","[3] StringListAttributeComparatorLevenshtein.commonNames record1Value","[3] StringListAttributeComparatorLevenshtein.commonNames record2Value","[3] StringListAttributeComparatorLevenshtein.commonNames record1PreprocessedValue","[3] StringListAttributeComparatorLevenshtein.commonNames record2PreprocessedValue","[3] StringListAttributeComparatorLevenshtein.commonNames similarity","[3] StringListAttributeComparatorLevenshtein.commonNames postproccesedSimilarity","[4] StringListAttributeAsWholeComparatorJaccard.commonNames record1Value","[4] StringListAttributeAsWholeComparatorJaccard.commonNames record2Value","[4] StringListAttributeAsWholeComparatorJaccard.commonNames record1PreprocessedValue","[4] StringListAttributeAsWholeComparatorJaccard.commonNames record2PreprocessedValue","[4] StringListAttributeAsWholeComparatorJaccard.commonNames similarity","[4] StringListAttributeAsWholeComparatorJaccard.commonNames postproccesedSimilarity","[5] StringListAttributeAsWholeComparatorJaccard.regionNames record1Value","[5] StringListAttributeAsWholeComparatorJaccard.regionNames record2Value","[5] StringListAttributeAsWholeComparatorJaccard.regionNames record1PreprocessedValue","[5] StringListAttributeAsWholeComparatorJaccard.regionNames record2PreprocessedValue","[5] StringListAttributeAsWholeComparatorJaccard.regionNames similarity","[5] StringListAttributeAsWholeComparatorJaccard.regionNames postproccesedSimilarity"
"WekaMatchingRule","BIO06833","ES247","0.0",,"calvatia gigantea","calamagrostis hillebrandii","calvatia gigantea","calamagrostis hillebrandii","0.0","0.0","calvatia gigantea","calamagrostis hillebrandii","calvatia gigantea","calamagrostis hillebrandii","0.3846153846153846","0.3846153846153846","Fungi","Vascular Plant","Fungi","Vascular Plant","0.0","0.0","[none]","[hillebrand s reedgrass]","[none]","[hillebrand s reedgrass]","0.09090909090909094","0.09090909090909094","none","hillebrand s reedgrass","none","hillebrand s reedgrass","0.0","0.0","northeast","pacific","northeast","pacific","0.0","0.0"
"WekaMatchingRule","BIO39247","ES911","0.0",,"schistidium strictum","schoenocrambe argillacea","schistidium strictum","schoenocrambe argillacea","0.0","0.0","schistidium strictum","schoenocrambe argillacea","schistidium strictum","schoenocrambe argillacea","0.25","0.25","Nonvascular Plant","Vascular Plant","Nonvascular Plant","Vascular Plant","0.0","0.0","[none]","[clay reed mustard]","[none]","[clay reed mustard]","0.05882352941176472","0.05882352941176472","none","clay reed mustard","none","clay reed mustard","0.0","0.0","pacific","mountain prairie","pacific","mountain prairie","0.0","0.0"
"WekaMatchingRule","BIO16601","ES784","0.0",,"eriophyllum lanatum var. leucophyllum","eriogonum ovalifolium var. williamsiae","eriophyllum lanatum var. leucophyllum","eriogonum ovalifolium var. williamsiae","0.14285714285714285","0.14285714285714285","eriophyllum lanatum var. leucophyllum","eriogonum ovalifolium var. williamsiae","eriophyllum lanatum var. leucophyllum","eriogonum ovalifolium var. williamsiae","0.3421052631578947","0.3421052631578947","Vascular Plant","Vascular Plant","Vascular Plant","Vascular Plant","1.0","1.0","[woolly sunflower, common woolly sunflower]","[steamboat buckwheat]","[woolly sunflower, common woolly sunflower]","[steamboat buckwheat]","0.13043478260869568","0.13043478260869568","woolly sunflower common woolly sunflower","steamboat buckwheat","woolly sunflower common woolly sunflower","steamboat buckwheat","0.0","0.0","pacific southwest pacific","pacific southwest","pacific southwest pacific","pacific southwest","1.0","1.0"
"WekaMatchingRule","BIO20221","ES555","0.0",,"helophorus marginicollis","helianthus paradoxus","helophorus marginicollis","helianthus paradoxus","0.0","0.0","helophorus marginicollis","helianthus paradoxus","helophorus marginicollis","helianthus paradoxus","0.41666666666666663","0.41666666666666663","Insect","Vascular Plant","Insect","Vascular Plant","0.0","0.0","[none]","[pecos ( puzzle,  paradox) sunflower]","[none]","[pecos ( puzzle,  paradox) sunflower]","0.08571428571428574","0.08571428571428574","none","pecos ( puzzle,  paradox) sunflower","none","pecos ( puzzle,  paradox) sunflower","0.0","0.0","southeast","southwest","southeast","southwest","0.0","0.0"
"WekaMatchingRule","BIO01563","ES1284","0.0",,"amaranthus deflexus","amazona vittata","amaranthus deflexus","amazona vittata","0.0","0.0","amaranthus deflexus","amazona vittata","amaranthus deflexus","amazona vittata","0.26315789473684215","0.26315789473684215","Vascular Plant","Bird","Vascular Plant","Bird","0.0","0.0","[low amaranth]","[puerto rican parrot]","[low amaranth]","[puerto rican parrot]","0.21052631578947367","0.21052631578947367","low amaranth","puerto rican parrot","low amaranth","puerto rican parrot","0.0","0.0","pacific southwest","southeast","pacific southwest","southeast","0.0","0.0"
"WekaMatchingRule","BIO13095","ES369","0.65",,"delphinium carolinianum ssp. carolinianum","delphinium variegatum ssp. kinkiense","delphinium carolinianum ssp. carolinianum","delphinium variegatum ssp. kinkiense","0.4","0.4","delphinium carolinianum ssp. carolinianum","delphinium variegatum ssp. kinkiense","delphinium carolinianum ssp. carolinianum","delphinium variegatum ssp. kinkiense","0.6341463414634146","0.6341463414634146","Vascular Plant","Vascular Plant","Vascular Plant","Vascular Plant","1.0","1.0","[larkspur]","[san clemente island larkspur]","[larkspur]","[san clemente island larkspur]","0.2857142857142857","0.2857142857142857","larkspur","san clemente island larkspur","larkspur","san clemente island larkspur","0.25","0.25","southeast","pacific southwest","southeast","pacific southwest","0.0","0.0"
"WekaMatchingRule","BIO02707","ES572",,"0","aphididae","poa atropurpurea","aphididae","poa atropurpurea","0.0","0.0","aphididae","poa atropurpurea","aphididae","poa atropurpurea","0.125","0.125","Insect","Vascular Plant","Insect","Vascular Plant","0.0","0.0","[plantlice, aphids]","[san bernardino bluegrass]","[plantlice, aphids]","[san bernardino bluegrass]","0.125","0.125","plantlice aphids","san bernardino bluegrass","plantlice aphids","san bernardino bluegrass","0.0","0.0","pacific southwest southeast pacific","pacific southwest","pacific southwest southeast pacific","pacific southwest","0.6666666666666666","0.6666666666666666"
"WekaMatchingRule","BIO33965","ES837","0.94","1","plagiobothrys","plagiobothrys hirtus","plagiobothrys","plagiobothrys hirtus","0.5","0.5","plagiobothrys","plagiobothrys hirtus","plagiobothrys","plagiobothrys hirtus","0.65","0.65","Vascular Plant","Vascular Plant","Vascular Plant","Vascular Plant","1.0","1.0","[popcornflower]","[rough popcornflower]","[popcornflower]","[rough popcornflower]","0.6842105263157895","0.6842105263157895","popcornflower","rough popcornflower","popcornflower","rough popcornflower","0.5","0.5","pacific southwest southwest","pacific","pacific southwest southwest","pacific","0.5","0.5"
"WekaMatchingRule","BIO09194","ES1212","1.0","1","chasmistes liorus","chasmistes liorus","chasmistes liorus","chasmistes liorus","1.0","1.0","chasmistes liorus","chasmistes liorus","chasmistes liorus","chasmistes liorus","1.0","1.0","Fish","Fish","Fish","Fish","1.0","1.0","[june sucker]","[june sucker]","[june sucker]","[june sucker]","1.0","1.0","june sucker","june sucker","june sucker","june sucker","1.0","1.0","pacific mountain prairie","mountain prairie","pacific mountain prairie","mountain prairie","0.6666666666666666","0.6666666666666666"
"WekaMatchingRule","BIO33467","ES671","0.0",,"physalis lobata","phyllostegia pilosa","physalis lobata","phyllostegia pilosa","0.0","0.0","physalis lobata","phyllostegia pilosa","physalis lobata","phyllostegia pilosa","0.368421052631579","0.368421052631579","Vascular Plant","Vascular Plant","Vascular Plant","Vascular Plant","1.0","1.0","[purple ground cherry]","[no common name]","[purple ground cherry]","[no common name]","0.15000000000000002","0.15000000000000002","purple ground cherry","no common name","purple ground cherry","no common name","0.0","0.0","pacific southwest mountain prairie","pacific","pacific southwest mountain prairie","pacific","0.25","0.25"
"WekaMatchingRule","BIO31617","ES1167","0.0",,"parthenice mollis","paroreomyza flammea","parthenice mollis","paroreomyza flammea","0.0","0.0","parthenice mollis","paroreomyza flammea","parthenice mollis","paroreomyza flammea","0.26315789473684215","0.26315789473684215","Vascular Plant","Bird","Vascular Plant","Bird","0.0","0.0","[annual monsterwort]","[molokai creeper]","[annual monsterwort]","[molokai creeper]","0.16666666666666663","0.16666666666666663","annual monsterwort","molokai creeper","annual monsterwort","molokai creeper","0.0","0.0","southwest","pacific","southwest","pacific","0.0","0.0"
"WekaMatchingRule","BIO31123","ES611","0.35","0","panicum fauriei var. latius","panicum fauriei var. carteri","panicum fauriei var. latius","panicum fauriei var. carteri","0.6","0.6","panicum fauriei var. latius","panicum fauriei var. carteri","panicum fauriei var. latius","panicum fauriei var. carteri","0.8214285714285714","0.8214285714285714","Vascular Plant","Vascular Plant","Vascular Plant","Vascular Plant","1.0","1.0","[faurie s panicgrass]","[carter s panicgrass]","[faurie s panicgrass]","[carter s panicgrass]","0.7894736842105263","0.7894736842105263","faurie s panicgrass","carter s panicgrass","faurie s panicgrass","carter s panicgrass","0.5","0.5","pacific","pacific","pacific","pacific","1.0","1.0"
"WekaMatchingRule","BIO35152","ES757","0.0",,"polystichum bonseyi","polygonum hickmanii","polystichum bonseyi","polygonum hickmanii","0.0","0.0","polystichum bonseyi","polygonum hickmanii","polystichum bonseyi","polygonum hickmanii","0.3157894736842105","0.3157894736842105","Vascular Plant","Vascular Plant","Vascular Plant","Vascular Plant","1.0","1.0","[bonsey s hollyfern]","[scotts valley polygonum]","[bonsey s hollyfern]","[scotts valley polygonum]","0.21739130434782605","0.21739130434782605","bonsey s hollyfern","scotts valley polygonum","bonsey s hollyfern","scotts valley polygonum","0.0","0.0","pacific","pacific southwest","pacific","pacific southwest","0.5","0.5"
"WekaMatchingRule","BIO33548","ES280","0.0",,"physcia neogaea","phyllostegia hirsuta","physcia neogaea","phyllostegia hirsuta","0.0","0.0","physcia neogaea","phyllostegia hirsuta","physcia neogaea","phyllostegia hirsuta","0.4","0.4","Fungi","Vascular Plant","Fungi","Vascular Plant","0.0","0.0","[rosette lichen]","[no common name]","[rosette lichen]","[no common name]","0.0714285714285714","0.0714285714285714","rosette lichen","no common name","rosette lichen","no common name","0.0","0.0","southeast","pacific","southeast","pacific","0.0","0.0"
"WekaMatchingRule","BIO35026","ES757","0.35",,"polygonum shastense","polygonum hickmanii","polygonum shastense","polygonum hickmanii","0.3333333333333333","0.3333333333333333","polygonum shastense","polygonum hickmanii","polygonum shastense","polygonum hickmanii","0.5789473684210527","0.5789473684210527","Vascular Plant","Vascular Plant","Vascular Plant","Vascular Plant","1.0","1.0","[shasta knotweed]","[scotts valley polygonum]","[shasta knotweed]","[scotts valley polygonum]","0.17391304347826086","0.17391304347826086","shasta knotweed","scotts valley polygonum","shasta knotweed","scotts valley polygonum","0.0","0.0","pacific southwest pacific","pacific southwest","pacific southwest pacific","pacific southwest","1.0","1.0"
"WekaMatchingRule","BIO37116","ES1600","0.0",,"ranunculus flammula","rana chiricahuensis","ranunculus flammula","rana chiricahuensis","0.0","0.0","ranunculus flammula","rana chiricahuensis","ranunculus flammula","rana chiricahuensis","0.21052631578947367","0.21052631578947367","Vascular Plant","Amphibian","Vascular Plant","Amphibian","0.0","0.0","[spearwort buttercup, creeping buttercup, greater creeping spearwort]","[chiricahua leopard frog]","[spearwort buttercup, creeping buttercup, greater creeping spearwort]","[chiricahua leopard frog]","0.1923076923076923","0.1923076923076923","spearwort buttercup creeping buttercup greater creeping spearwort","chiricahua leopard frog","spearwort buttercup creeping buttercup greater creeping spearwort","chiricahua leopard frog","0.0","0.0","mountain prairie pacific southwest southwest pacific midwest","southwest","mountain prairie pacific southwest southwest pacific midwest","southwest","0.2","0.2"
"WekaMatchingRule","BIO35541","ES1210",,"0","potomobius trowbridge","myadestes palmeri","potomobius trowbridge","myadestes palmeri","0.0","0.0","potomobius trowbridge","myadestes palmeri","potomobius trowbridge","myadestes palmeri","0.19047619047619047","0.19047619047619047","Crab/Lobster/Shrimp","Bird","Crab/Lobster/Shrimp","Bird","0.0","0.0","[western crayfish]","[small kauai ( puaiohi) thrush]","[western crayfish]","[small kauai ( puaiohi) thrush]","0.1724137931034483","0.1724137931034483","western crayfish","small kauai ( puaiohi) thrush","western crayfish","small kauai ( puaiohi) thrush","0.0","0.0","pacific","pacific","pacific","pacific","1.0","1.0"
"WekaMatchingRule","BIO04198","ES636","0.73",,"astragalus cremnophylax","astragalus tricarinatus","astragalus cremnophylax","astragalus tricarinatus","0.3333333333333333","0.3333333333333333","astragalus cremnophylax","astragalus tricarinatus","astragalus cremnophylax","astragalus tricarinatus","0.5217391304347826","0.5217391304347826","Vascular Plant","Vascular Plant","Vascular Plant","Vascular Plant","1.0","1.0","[sentry milk vetch, sentry milkvetch]","[triple ribbed milk vetch]","[sentry milk vetch, sentry milkvetch]","[triple ribbed milk vetch]","0.5","0.5","sentry milk vetch sentry milkvetch","triple ribbed milk vetch","sentry milk vetch sentry milkvetch","triple ribbed milk vetch","0.3333333333333333","0.3333333333333333","southwest","pacific southwest","southwest","pacific southwest","0.5","0.5"
"WekaMatchingRule","BIO32512","ES1131","0.0",,"persicaria punctata","percina rex","persicaria punctata","percina rex","0.0","0.0","persicaria punctata","percina rex","persicaria punctata","percina rex","0.3157894736842105","0.3157894736842105","Vascular Plant","Fish","Vascular Plant","Fish","0.0","0.0","[knotweed, water smartweed, dotted smartweed]","[roanoke logperch]","[knotweed, water smartweed, dotted smartweed]","[roanoke logperch]","0.1875","0.1875","knotweed water smartweed dotted smartweed","roanoke logperch","knotweed water smartweed dotted smartweed","roanoke logperch","0.0","0.0","northeast pacific","northeast","northeast pacific","northeast","0.5","0.5"
"WekaMatchingRule","BIO16748","ES14","0.0",,"erythronium rostratum","erysimum teretifolium","erythronium rostratum","erysimum teretifolium","0.0","0.0","erythronium rostratum","erysimum teretifolium","erythronium rostratum","erysimum teretifolium","0.2857142857142857","0.2857142857142857","Vascular Plant","Vascular Plant","Vascular Plant","Vascular Plant","1.0","1.0","[yellow trout lily]","[ben lomond wallflower]","[yellow trout lily]","[ben lomond wallflower]","0.23809523809523814","0.23809523809523814","yellow trout lily","ben lomond wallflower","yellow trout lily","ben lomond wallflower","0.0","0.0","southeast","pacific southwest","southeast","pacific southwest","0.0","0.0"
"WekaMatchingRule","BIO31736","ES1428",,"0","patalene olyzonaria","eleutherodactylus jasperi","patalene olyzonaria","eleutherodactylus jasperi","0.0","0.0","patalene olyzonaria","eleutherodactylus jasperi","patalene olyzonaria","eleutherodactylus jasperi","0.16000000000000003","0.16000000000000003","Insect","Amphibian","Insect","Amphibian","0.0","0.0","[none]","[golden coqui]","[none]","[golden coqui]","0.16666666666666663","0.16666666666666663","none","golden coqui","none","golden coqui","0.0","0.0","southeast","southeast","southeast","southeast","1.0","1.0"
"WekaMatchingRule","BIO21458","ES1321","0.25",,"hylaeus rugulosus","hylaeus kuakea","hylaeus rugulosus","hylaeus kuakea","0.3333333333333333","0.3333333333333333","hylaeus rugulosus","hylaeus kuakea","hylaeus rugulosus","hylaeus kuakea","0.5294117647058824","0.5294117647058824","Insect","Insect","Insect","Insect","1.0","1.0","[none]","[hawaiian yellow faced bee]","[none]","[hawaiian yellow faced bee]","0.12","0.12","none","hawaiian yellow faced bee","none","hawaiian yellow faced bee","0.0","0.0","pacific","pacific","pacific","pacific","1.0","1.0"
"WekaMatchingRule","BIO23253","ES1513","0.0",,"lampropeltis pyromelana","lampsilis subangulata","lampropeltis pyromelana","lampsilis subangulata","0.0","0.0","lampropeltis pyromelana","lampsilis subangulata","lampropeltis pyromelana","lampsilis subangulata","0.4347826086956522","0.4347826086956522","Reptile","Invertebrate","Reptile","Invertebrate","0.0","0.0","[sonoran mountain kingsnake]","[shinyrayed pocketbook]","[sonoran mountain kingsnake]","[shinyrayed pocketbook]","0.1923076923076923","0.1923076923076923","sonoran mountain kingsnake","shinyrayed pocketbook","sonoran mountain kingsnake","shinyrayed pocketbook","0.0","0.0","southwest mountain prairie","southeast","southwest mountain prairie","southeast","0.0","0.0"
"WekaMatchingRule","BIO33566","ES792","0.0",,"physconia kurokawae","phyllostegia floribunda","physconia kurokawae","phyllostegia floribunda","0.0","0.0","physconia kurokawae","phyllostegia floribunda","physconia kurokawae","phyllostegia floribunda","0.34782608695652173","0.34782608695652173","Fungi","Vascular Plant","Fungi","Vascular Plant","0.0","0.0","[frosted lichen]","[no common name]","[frosted lichen]","[no common name]","0.0714285714285714","0.0714285714285714","frosted lichen","no common name","frosted lichen","no common name","0.0","0.0","southeast","pacific","southeast","pacific","0.0","0.0"
"WekaMatchingRule","BIO17273","ES1337","0.0",,"euphrasia arctica","euproserpinus euterpe","euphrasia arctica","euproserpinus euterpe","0.0","0.0","euphrasia arctica","euproserpinus euterpe","euphrasia arctica","euproserpinus euterpe","0.2857142857142857","0.2857142857142857","Vascular Plant","Insect","Vascular Plant","Insect","0.0","0.0","[american eyebright]","[kern primrose sphinx moth]","[american eyebright]","[kern primrose sphinx moth]","0.19999999999999996","0.19999999999999996","american eyebright","kern primrose sphinx moth","american eyebright","kern primrose sphinx moth","0.0","0.0","midwest","pacific southwest","midwest","pacific southwest","0.0","0.0"
"WekaMatchingRule","BIO07164","ES1317","0.0",,"campylopus tallulensis","campeloma decampi","campylopus tallulensis","campeloma decampi","0.0","0.0","campylopus tallulensis","campeloma decampi","campylopus tallulensis","campeloma decampi","0.36363636363636365","0.36363636363636365","Nonvascular Plant","Slug/Snail","Nonvascular Plant","Slug/Snail","0.0","0.0","[tallul campylopus moss]","[slender campeloma]","[tallul campylopus moss]","[slender campeloma]","0.31818181818181823","0.31818181818181823","tallul campylopus moss","slender campeloma","tallul campylopus moss","slender campeloma","0.0","0.0","southeast","southeast","southeast","southeast","1.0","1.0"
"WekaMatchingRule","BIO08918","ES1092","0.0",,"chaenactis","chasiempis ibidis","chaenactis","chasiempis ibidis","0.0","0.0","chaenactis","chasiempis ibidis","chaenactis","chasiempis ibidis","0.3529411764705882","0.3529411764705882","Vascular Plant","Bird","Vascular Plant","Bird","0.0","0.0","[pincushion, chaenactis]","[oahu elepaio]","[pincushion, chaenactis]","[oahu elepaio]","0.25","0.25","pincushion chaenactis","oahu elepaio","pincushion chaenactis","oahu elepaio","0.0","0.0","pacific southwest","pacific","pacific southwest","pacific","0.5","0.5"
