"RecordIDS","AverageConsistency","scientificName-Consistency","scientificName-Values","category-Consistency","category-Values","listingStatuses-Consistency","listingStatuses-Values","commonNames-Consistency","commonNames-Values","regionnames-Consistency","regionnames-Values","regions-Consistency","regions-Values"
"BIO02709+http://www.wikidata.org/entity/q2085645","0.8333333333333334","1.0","{aphidius obscuripes|aphidius obscuripes}","1.0","{Insect|Insect}","1.0","{[none]}","0.0","{[none]|[aphidius obscuripes]}","1.0","{[pacific]}","1.0","{[1]}"
"BIO45398+http://www.wikidata.org/entity/q596275","0.8333333333333334","1.0","{vireo philadelphicus|vireo philadelphicus}","1.0","{Bird|Bird}","0.0","{[none]|[least concern]}","1.0","{[philadelphia vireo]|[philadelphia vireo]}","1.0","{[northeast, mountain prairie, pacific southwest, southwest, pacific, southeast, midwest]}","1.0","{[5, 6, 8, 2, 1, 4, 3]}"
"BIO14452+http://www.wikidata.org/entity/q1616793","0.8333333333333334","1.0","{drosophila busckii|drosophila busckii}","1.0","{Insect|Insect}","1.0","{[none]}","0.0","{[none]|[drosophila busckii]}","1.0","{[pacific]}","1.0","{[1]}"
"BIO03310+http://www.wikidata.org/entity/q1634066","0.8333333333333334","1.0","{argia moesta|argia moesta}","1.0","{Insect|Insect}","0.0","{[none]|[least concern]}","1.0","{[powdered dancer]|[powdered dancer]}","1.0","{[southeast]}","1.0","{[4]}"
"BIO41141+http://www.wikidata.org/entity/q292385","0.8333333333333334","1.0","{sphagnum warnstorfii|sphagnum warnstorfii}","1.0","{Nonvascular Plant|Nonvascular Plant}","1.0","{[none]}","0.0","{[warnstorf s sphagnum]|[warnstorfs sphagnum, sphagnum warnstorfii]}","1.0","{[mountain prairie, pacific, alaska]}","1.0","{[6, 1, 7]}"
"BIO37255+http://www.wikidata.org/entity/q531971","0.6666666666666666","1.0","{reithrodontomys megalotis|reithrodontomys megalotis}","1.0","{Mammal|Mammal}","0.0","{[none]|[least concern]}","0.0","{[western harvest mouse]|[western harvest mouse, southern marsh harvest mouse]}","1.0","{[pacific southwest, southwest, mountain prairie]}","1.0","{[8, 2, 6]}"
"BIO43024+http://www.wikidata.org/entity/q1206458","0.8333333333333334","1.0","{tetramorium caespitum|tetramorium caespitum}","1.0","{Insect|Insect}","1.0","{[none]}","0.0","{[pavement ant]|[tetramorium caespitum]}","1.0","{[pacific southwest]}","1.0","{[8]}"
"BIO08999+http://www.wikidata.org/entity/q727783","0.8333333333333334","1.0","{chaetoptila angustipluma|chaetoptila angustipluma}","1.0","{Bird|Bird}","0.0","{[none]|[extinct species]}","1.0","{[kioea]|[kioea]}","1.0","{[pacific]}","1.0","{[1]}"
"BIO45874+http://www.wikidata.org/entity/q1172612","0.6666666666666666","1.0","{yucca valida|yucca valida}","1.0","{Vascular Plant|Vascular Plant}","0.0","{[none]|[least concern]}","0.0","{[none]|[yucca valida]}","1.0","{[pacific southwest]}","1.0","{[8]}"
"BIO13511+http://www.wikidata.org/entity/q1209109","0.8333333333333334","1.0","{diaphanosoma brachyurum|diaphanosoma brachyurum}","1.0","{Crab/Lobster/Shrimp|Crab/Lobster/Shrimp}","1.0","{[none]}","0.0","{[none]|[diaphanosoma brachyurum]}","1.0","{[pacific, mountain prairie]}","1.0","{[1, 6]}"
"BIO38301+http://www.wikidata.org/entity/q1691292","0.8333333333333334","1.0","{russula turci|russula turci}","1.0","{Fungi|Fungi}","1.0","{[none]}","0.0","{[none]|[russula turci]}","1.0","{[pacific southwest]}","1.0","{[8]}"
"BIO08586+http://www.wikidata.org/entity/q666300","1.0","1.0","{centruroides sculpturatus|centruroides sculpturatus}","1.0","{Spider/Scorpion|Spider/Scorpion}","1.0","{[none]}","1.0","{[arizona bark scorpion]|[arizona bark scorpion]}","1.0","{[southwest]}","1.0","{[2]}"
"BIO38883+http://www.wikidata.org/entity/q648943","0.8333333333333334","1.0","{satyrium titus|satyrium titus}","1.0","{Insect|Insect}","1.0","{[none]}","0.0","{[coral hairstreak]|[coral hairstreak, satyrium titus]}","1.0","{[mountain prairie]}","1.0","{[6]}"
"BIO43801+http://www.wikidata.org/entity/q1315033","0.8333333333333334","1.0","{trametes pubescens|trametes pubescens}","1.0","{Fungi|Fungi}","1.0","{[none]}","0.0","{[none]|[trametes pubescens]}","1.0","{[southeast]}","1.0","{[4]}"
"BIO23976+http://www.wikidata.org/entity/q583737","0.6666666666666666","1.0","{lepisosteus platyrhincus|lepisosteus platyrhincus}","1.0","{Fish|Fish}","0.0","{[none]|[least concern]}","0.0","{[gar, florida gar]|[florida gar]}","1.0","{[southeast]}","1.0","{[4]}"
"BIO33553+http://www.wikidata.org/entity/q2089378","0.8333333333333334","1.0","{physcia tenella|physcia tenella}","1.0","{Fungi|Fungi}","1.0","{[none]}","0.0","{[none]|[rosette lichen, physcia tenella]}","1.0","{[pacific southwest, mountain prairie, pacific, alaska]}","1.0","{[8, 6, 1, 7]}"
"BIO43052+http://www.wikidata.org/entity/q1633833","0.8333333333333334","1.0","{tetrapturus pfluegeri|tetrapturus pfluegeri}","1.0","{Fish|Fish}","0.0","{[none]|[least concern]}","1.0","{[longbill spearfish]|[longbill spearfish]}","1.0","{[southeast]}","1.0","{[4]}"
"BIO36006+ES1059","0.5","0.0","{pseudocopaeodes eunus|pseudocopaeodes eunus obscurus}","1.0","{Insect|Insect}","0.0","{[none]|[endangered]}","0.0","{[alkali skipper]|[carson wandering skipper]}","1.0","{[pacific southwest]|[pacific southwest]}","1.0","{[8]|[8]}"
"BIO05039+http://www.wikidata.org/entity/q976781","0.8333333333333334","1.0","{batrachoseps gavilanensis|batrachoseps gavilanensis}","1.0","{Amphibian|Amphibian}","0.0","{[none]|[least concern]}","1.0","{[gabilan mountains slender salamander]|[gabilan mountains slender salamander]}","1.0","{[pacific southwest]}","1.0","{[8]}"
"BIO07240+http://www.wikidata.org/entity/q1000278","0.6666666666666666","1.0","{canthidermis maculata|canthidermis maculata}","1.0","{Fish|Fish}","0.0","{[none]|[least concern]}","0.0","{[rough triggerfish]|[spotted oceanic triggerfish, triggerfish, spotted triggerfish, white spotted triggerfish, rough triggerfish, ocean triggerfish, oceanic triggerfish, whitespotted triggerfish, canthidermis maculata]}","1.0","{[southeast]}","1.0","{[4]}"
"BIO39379+http://www.wikidata.org/entity/q987555","0.6666666666666666","1.0","{sciurus aberti|sciurus aberti}","1.0","{Mammal|Mammal}","0.0","{[none]|[least concern]}","0.0","{[abert s squirrel]|[abert’s squirrel, aberts squirrel, aberts squirrel]}","1.0","{[southwest, mountain prairie]}","1.0","{[2, 6]}"
"BIO27287+ES331","0.6666666666666666","1.0","{mezoneuron kavaiense|mezoneuron kavaiense}","1.0","{Vascular Plant|Vascular Plant}","0.0","{[none]|[endangered]}","0.0","{[uhiuhi]|[uhi uhi]}","1.0","{[pacific]|[pacific]}","1.0","{[1]|[1]}"
"BIO29217+http://www.wikidata.org/entity/q1760535","0.8333333333333334","1.0","{nicrophorus investigator|nicrophorus investigator}","1.0","{Insect|Insect}","1.0","{[none]}","0.0","{[none]|[banded sexton beetle, nicrophorus investigator]}","1.0","{[pacific, mountain prairie]}","1.0","{[1, 6]}"
"BIO18108+http://www.wikidata.org/entity/q26685","0.6666666666666666","1.0","{fratercula arctica|fratercula arctica}","1.0","{Bird|Bird}","0.0","{[species of concern]|[vulnerable]}","0.0","{[atlantic puffin]|[atlantic puffin, puffin]}","1.0","{[northeast]}","1.0","{[5]}"
"BIO22736+http://www.wikidata.org/entity/q1713394","0.8333333333333334","1.0","{jungermannia obovata|jungermannia obovata}","1.0","{Nonvascular Plant|Nonvascular Plant}","1.0","{[none]}","0.0","{[none]|[jungermannia obovata]}","1.0","{[mountain prairie, pacific, alaska]}","1.0","{[6, 1, 7]}"
"BIO25298+http://www.wikidata.org/entity/q327028","0.6666666666666666","1.0","{lontra canadensis|lontra canadensis}","1.0","{Mammal|Mammal}","0.0","{[none]|[least concern]}","0.0","{[river otter, northern river otter, common otter, north american river otter, land otter]|[north american river otter, north american otter, northern river otter]}","1.0","{[northeast, mountain prairie, pacific southwest, southwest, pacific, alaska, southeast, midwest]}","1.0","{[5, 6, 8, 2, 1, 7, 4, 3]}"
"BIO35190+http://www.wikidata.org/entity/q369441","0.6666666666666666","1.0","{pomacanthus paru|pomacanthus paru}","1.0","{Fish|Fish}","0.0","{[none]|[least concern]}","0.0","{[french angelfish]|[french angel, angelfish, french angelfish, pomacanthus paru]}","1.0","{[southeast]}","1.0","{[4]}"
"BIO13080+ES23","0.16666666666666666","0.0","{delphinium|delphinium luteum}","1.0","{Vascular Plant|Vascular Plant}","0.0","{[none]|[endangered]}","0.0","{[larkspur]|[yellow larkspur]}","0.0","{[pacific southwest, pacific]|[pacific southwest]}","0.0","{[8, 1]|[8]}"
"BIO30818+http://www.wikidata.org/entity/q1777239","0.6666666666666666","1.0","{oxychilus alliarius|oxychilus alliarius}","1.0","{Slug/Snail|Slug/Snail}","0.0","{[none]|[least concern]}","0.0","{[garlic glass snail]|[oxychilus alliarius]}","1.0","{[pacific]}","1.0","{[1]}"
"BIO08580+http://www.wikidata.org/entity/q882759","0.6666666666666666","1.0","{centropyge argi|centropyge argi}","1.0","{Fish|Fish}","0.0","{[none]|[least concern]}","0.0","{[cherubfish]|[pygmy angelfish, cherub pygmy angelfish, cherubfish]}","1.0","{[southeast]}","1.0","{[4]}"
"BIO40841+http://www.wikidata.org/entity/q1769703","0.8333333333333334","1.0","{sorex longirostris|sorex longirostris}","1.0","{Mammal|Mammal}","0.0","{[none]|[least concern]}","1.0","{[southeastern shrew]|[southeastern shrew]}","1.0","{[northeast, southeast]}","1.0","{[5, 4]}"
"BIO02760+http://www.wikidata.org/entity/q1274741","0.8333333333333334","1.0","{aphriza virgata|aphriza virgata}","1.0","{Bird|Bird}","1.0","{[none]}","0.0","{[surfbird]|[surfbird, aphriza virgata]}","1.0","{[pacific southwest, pacific, alaska]}","1.0","{[8, 1, 7]}"
"BIO42131+http://www.wikidata.org/entity/q1814908","0.8333333333333334","1.0","{stygoparnus comalensis|stygoparnus comalensis}","1.0","{Insect|Insect}","1.0","{[endangered]}","0.0","{[none]|[comal springs dryopid beetle, stygoparnus comalensis]}","1.0","{[pacific southwest]}","1.0","{[8]}"
"BIO35828+http://www.wikidata.org/entity/q2113791","0.8333333333333334","1.0","{prototrichia metallica|prototrichia metallica}","1.0","{Fungi|Fungi}","1.0","{[none]}","0.0","{[none]|[prototrichia metallica]}","1.0","{[pacific, mountain prairie]}","1.0","{[1, 6]}"
"BIO40037+ES258","0.8333333333333334","1.0","{sesbania tomentosa|sesbania tomentosa}","1.0","{Vascular Plant|Vascular Plant}","1.0","{[endangered]|[endangered]}","0.0","{[ ohai, ohai]|[ohai]}","1.0","{[pacific]|[pacific]}","1.0","{[1]|[1]}"
"BIO08653+http://www.wikidata.org/entity/q926867","0.8333333333333334","1.0","{cepphus columba|cepphus columba}","1.0","{Bird|Bird}","0.0","{[none]|[least concern]}","1.0","{[pigeon guillemot]|[pigeon guillemot]}","1.0","{[pacific southwest, pacific, alaska]}","1.0","{[8, 1, 7]}"
"BIO13185+http://www.wikidata.org/entity/q1410964","0.8333333333333334","1.0","{dendroica fusca|dendroica fusca}","1.0","{Bird|Bird}","1.0","{[none]}","0.0","{[blackburnian warbler]|[blackburnian warbler, dendroica fusca]}","1.0","{[northeast, mountain prairie, pacific southwest, southwest, southeast, midwest]}","1.0","{[5, 6, 8, 2, 4, 3]}"
"BIO21699+http://www.wikidata.org/entity/q1641266","0.8333333333333334","1.0","{hypnum lindbergii|hypnum lindbergii}","1.0","{Nonvascular Plant|Nonvascular Plant}","1.0","{[none]}","0.0","{[lindberg s hypnum moss]|[lindbergs hypnum moss, hypnum lindbergii]}","1.0","{[northeast, mountain prairie, pacific, alaska, southeast]}","1.0","{[5, 6, 1, 7, 4]}"
"BIO01768+ES939+http://www.wikidata.org/entity/q1588210","0.27777777777777773","0.6666666666666666","{ammodramus savannarum|ammodramus savannarum floridanus|ammodramus savannarum}","1.0","{Bird|Bird|Bird}","0.0","{[species of concern]|[endangered]|[least concern]}","0.0","{[grasshopper sparrow, eastern grasshopper sparrow]|[florida grasshopper sparrow]|[grasshopper sparrow]}","0.0","{[northeast, mountain prairie, pacific southwest, southwest, pacific, southeast, midwest]|[southeast]}","0.0","{[5, 6, 8, 2, 1, 4, 3]|[4]}"
"BIO19562+http://www.wikidata.org/entity/q1551970","0.6666666666666666","1.0","{gymnothorax funebris|gymnothorax funebris}","1.0","{Fish|Fish}","0.0","{[none]|[least concern]}","0.0","{[green moray]|[green eel, green moray, green cong, green conger, black moray, olive green moray eel, green congo]}","1.0","{[southeast]}","1.0","{[4]}"
"BIO43516+http://www.wikidata.org/entity/q2161732","0.8333333333333334","1.0","{tipula aprilina|tipula aprilina}","1.0","{Insect|Insect}","1.0","{[none]}","0.0","{[none]|[tipula (yamatotipula) aprilina]}","1.0","{[southeast]}","1.0","{[4]}"
"BIO11886+http://www.wikidata.org/entity/q617863","0.6666666666666666","1.0","{crotalus tigris|crotalus tigris}","1.0","{Reptile|Reptile}","0.0","{[none]|[least concern]}","0.0","{[tiger rattlesnake]|[tiger rattlesnake, crotalus tigris]}","1.0","{[pacific southwest, southwest]}","1.0","{[8, 2]}"
"BIO44646+http://www.wikidata.org/entity/q2177499","0.8333333333333334","1.0","{uraspis secunda|uraspis secunda}","1.0","{Fish|Fish}","0.0","{[none]|[least concern]}","1.0","{[cottonmouth jack]|[cottonmouth jack]}","1.0","{[southeast]}","1.0","{[4]}"
"BIO21146+http://www.wikidata.org/entity/q13684","0.6666666666666666","1.0","{hydnum repandum|hydnum repandum}","1.0","{Fungi|Fungi}","0.0","{[none]|[least concern]}","0.0","{[none]|[wood hedgehog]}","1.0","{[pacific southwest, northeast]}","1.0","{[8, 5]}"
"BIO31208+http://www.wikidata.org/entity/q1813452","0.8333333333333334","1.0","{panurginus atriceps|panurginus atriceps}","1.0","{Insect|Insect}","1.0","{[none]}","0.0","{[mining bee]|[panurginus atriceps]}","1.0","{[pacific]}","1.0","{[1]}"
"BIO07567+BIO07626+ES308","0.27777777777777773","0.0","{carex debilis|carex geophila|carex albida}","1.0","{Vascular Plant|Vascular Plant|Vascular Plant}","0.6666666666666666","{[none]|[none]|[endangered]}","0.0","{[white edge sedge, white edge sedge]|[white mountain sedge]|[white sedge]}","0.0","{[northeast, southeast]|[southwest, mountain prairie]|[pacific southwest]}","0.0","{[5, 4]|[2, 6]|[8]}"
"BIO26943+http://www.wikidata.org/entity/q842599","0.6666666666666666","1.0","{melospiza melodia|melospiza melodia}","1.0","{Bird|Bird}","0.0","{[none]|[least concern]}","0.0","{[eastern song sparrow, song sparrow]|[song sparrow]}","1.0","{[northeast, mountain prairie, pacific southwest, southwest, pacific, alaska, southeast, midwest]}","1.0","{[5, 6, 8, 2, 1, 7, 4, 3]}"
"BIO16953+http://www.wikidata.org/entity/q467996","0.8333333333333334","1.0","{eudocimus ruber|eudocimus ruber}","1.0","{Bird|Bird}","0.0","{[none]|[least concern]}","1.0","{[scarlet ibis]|[scarlet ibis]}","1.0","{[southeast]}","1.0","{[4]}"
"BIO44204+http://www.wikidata.org/entity/q2057479","0.6666666666666666","1.0","{trinectes maculatus|trinectes maculatus}","1.0","{Fish|Fish}","0.0","{[none]|[least concern]}","0.0","{[hogchoker]|[hogchoker, freshwater sole, freshwater flounder]}","1.0","{[southeast]}","1.0","{[4]}"
"BIO00787+http://www.wikidata.org/entity/q1349044","0.8333333333333334","1.0","{agaricus xanthodermus|agaricus xanthodermus}","1.0","{Fungi|Fungi}","1.0","{[none]}","0.0","{[none]|[yellow stainer, yellow staining mushroom, agaricus xanthodermus]}","1.0","{[mountain prairie]}","1.0","{[6]}"
"BIO05562+http://www.wikidata.org/entity/q2172613","0.8333333333333334","1.0","{bombus fernaldae|bombus fernaldae}","1.0","{Insect|Insect}","1.0","{[none]}","0.0","{[none]|[fernalds cuckoo bumble bee, bombus fernaldae]}","1.0","{[mountain prairie]}","1.0","{[6]}"
"BIO27692+http://www.wikidata.org/entity/q626023","0.6666666666666666","1.0","{mirounga angustirostris|mirounga angustirostris}","1.0","{Mammal|Mammal}","0.0","{[none]|[least concern]}","0.0","{[northern elephant seal, elephant seal]|[northern elephant seal]}","1.0","{[pacific southwest, pacific, alaska]}","1.0","{[8, 1, 7]}"
"BIO36515+http://www.wikidata.org/entity/q989263","1.0","1.0","{pulex irritans|pulex irritans}","1.0","{Insect|Insect}","1.0","{[none]}","1.0","{[human flea]|[human flea]}","1.0","{[pacific southwest]}","1.0","{[8]}"
"BIO35654+ES860","1.0","1.0","{pritchardia maideniana|pritchardia maideniana}","1.0","{Vascular Plant|Vascular Plant}","1.0","{[endangered]|[endangered]}","1.0","{[loulu]|[loulu]}","1.0","{[pacific]|[pacific]}","1.0","{[1]|[1]}"
"BIO17164+http://www.wikidata.org/entity/q339139","0.8333333333333334","1.0","{euphagus cyanocephalus|euphagus cyanocephalus}","1.0","{Bird|Bird}","0.0","{[none]|[least concern]}","1.0","{[brewer s blackbird]|[brewer s blackbird]}","1.0","{[northeast, mountain prairie, pacific southwest, southwest, pacific, southeast, midwest]}","1.0","{[5, 6, 8, 2, 1, 4, 3]}"
"BIO07066+http://www.wikidata.org/entity/q1315276","0.8333333333333334","1.0","{camponotus nearcticus|camponotus nearcticus}","1.0","{Insect|Insect}","1.0","{[none]}","0.0","{[none]|[camponotus nearcticus]}","1.0","{[southeast]}","1.0","{[4]}"
"BIO07122+http://www.wikidata.org/entity/q857874","0.8333333333333334","1.0","{camptostoma imberbe|camptostoma imberbe}","1.0","{Bird|Bird}","0.0","{[none]|[least concern]}","1.0","{[northern beardless tyrannulet, northern beardless tyrannulet]|[northern beardless tyrannulet, northern beardless tyrannulet]}","1.0","{[southwest]}","1.0","{[2]}"
"BIO17155+http://www.wikidata.org/entity/q2117909","0.8333333333333334","1.0","{eupentacta pseudoquinquesemita|eupentacta pseudoquinquesemita}","1.0","{Invertebrate|Invertebrate}","1.0","{[none]}","0.0","{[false white sea cucumber]|[eupentacta pseudoquinquesemita]}","1.0","{[alaska]}","1.0","{[7]}"
"BIO38888+http://www.wikidata.org/entity/q656553","0.6666666666666666","1.0","{sauromalus ater|sauromalus ater}","1.0","{Reptile|Reptile}","0.0","{[species of concern]|[least concern]}","0.0","{[common chuckwalla]|[northern chuckwalla, common chuckwalla, sauromalus ater]}","1.0","{[pacific southwest, southwest, mountain prairie]}","1.0","{[8, 2, 6]}"
"BIO45958+http://www.wikidata.org/entity/q1347939","0.6666666666666666","1.0","{zerene cesonia|zerene cesonia}","1.0","{Insect|Insect}","0.0","{[none]|[least concern]}","0.0","{[dog face(southern), southern dogface, butterfly]|[southern dogface, zerene cesonia]}","1.0","{[southwest, mountain prairie]}","1.0","{[2, 6]}"
"BIO20216+ES887","0.8333333333333334","1.0","{helonias bullata|helonias bullata}","1.0","{Vascular Plant|Vascular Plant}","1.0","{[threatened]|[threatened]}","0.0","{[swamp pink, swamppink]|[swamp pink]}","1.0","{[northeast]|[northeast]}","1.0","{[5]|[5]}"
"BIO18200+http://www.wikidata.org/entity/q1473589","0.8333333333333334","1.0","{fulgensia fulgens|fulgensia fulgens}","1.0","{Fungi|Fungi}","1.0","{[none]}","0.0","{[none]|[sulphur lichen, fulgensia fulgens]}","1.0","{[mountain prairie, alaska]}","1.0","{[6, 7]}"
"BIO17880+http://www.wikidata.org/entity/q372893","0.6666666666666666","1.0","{flammulina velutipes|flammulina velutipes}","1.0","{Fungi|Fungi}","0.0","{[none]|[least concern]}","0.0","{[none]|[enoki]}","1.0","{[pacific southwest, northeast, southeast]}","1.0","{[8, 5, 4]}"
"BIO00978+http://www.wikidata.org/entity/q1471958","0.8333333333333334","1.0","{agrocybe praecox|agrocybe praecox}","1.0","{Fungi|Fungi}","1.0","{[none]}","0.0","{[none]|[agrocybe praecox]}","1.0","{[northeast, pacific]}","1.0","{[5, 1]}"
"BIO13181+http://www.wikidata.org/entity/q1387037","0.8333333333333334","1.0","{dendroica discolor|dendroica discolor}","1.0","{Bird|Bird}","1.0","{[none]}","0.0","{[northern prairie warbler, prairie warbler]|[prairie warbler, dendroica discolor]}","1.0","{[northeast, mountain prairie, pacific southwest, southwest, southeast, midwest]}","1.0","{[5, 6, 8, 2, 4, 3]}"
"BIO40095+http://www.wikidata.org/entity/q903940","0.8333333333333334","1.0","{setophaga occidentalis|setophaga occidentalis}","1.0","{Bird|Bird}","0.0","{[none]|[least concern]}","1.0","{[hermit warbler]|[hermit warbler]}","1.0","{[pacific southwest, southwest, mountain prairie]}","1.0","{[8, 2, 6]}"
"BIO31278+http://www.wikidata.org/entity/q742698","0.6666666666666666","1.0","{parabuteo unicinctus|parabuteo unicinctus}","1.0","{Bird|Bird}","0.0","{[species of concern]|[least concern]}","0.0","{[harris  hawk, harris s hawk]|[harris s hawk]}","1.0","{[pacific southwest, southwest, mountain prairie]}","1.0","{[8, 2, 6]}"
"BIO23901+BIO23902+ES1388","0.27777777777777773","0.6666666666666666","{lepidomeda mollispinis|lepidomeda mollispinis mollispinis|lepidomeda mollispinis pratensis}","1.0","{Fish|Fish|Fish}","0.0","{[none]|[under review]|[threatened]}","0.0","{[virgin spinedace]|[virgin river spinedace]|[big spring spinedace]}","0.0","{[southwest]|[mountain prairie]|[pacific southwest]}","0.0","{[2]|[6]|[8]}"
"BIO36502+http://www.wikidata.org/entity/q1259706","0.8333333333333334","1.0","{puffinus creatopus|puffinus creatopus}","1.0","{Bird|Bird}","1.0","{[none]}","0.0","{[pink footed shearwater]|[pink footed shearwater, puffinus creatopus]}","1.0","{[pacific southwest, pacific, alaska]}","1.0","{[8, 1, 7]}"
"BIO19501+http://www.wikidata.org/entity/q1301661","0.8333333333333334","1.0","{gymnocarpium dryopteris|gymnocarpium dryopteris}","1.0","{Vascular Plant|Vascular Plant}","1.0","{[none]}","0.0","{[wood fern, western oak fern, common oak fern, triplet fern, oak fern, oak fern, fern, western oakfern]|[oak fern, western oakfern, gymnocarpium dryopteris]}","1.0","{[northeast, mountain prairie, pacific, alaska, midwest]}","1.0","{[5, 6, 1, 7, 3]}"
"BIO24426+http://www.wikidata.org/entity/q1374177","0.6666666666666666","1.0","{leucorrhinia frigida|leucorrhinia frigida}","1.0","{Insect|Insect}","0.0","{[none]|[least concern]}","0.0","{[frosted whiteface]|[frosted whiteface, leucorrhinia frigida]}","1.0","{[midwest]}","1.0","{[3]}"
"BIO12154+ES629","1.0","1.0","{ctenitis squamigera|ctenitis squamigera}","1.0","{Vascular Plant|Vascular Plant}","1.0","{[endangered]|[endangered]}","1.0","{[pauoa]|[pauoa]}","1.0","{[pacific]|[pacific]}","1.0","{[1]|[1]}"
"BIO16264+ES983","1.0","1.0","{erimonax monachus|erimonax monachus}","1.0","{Fish|Fish}","1.0","{[threatened]|[threatened]}","1.0","{[spotfin chub]|[spotfin chub]}","1.0","{[southeast]|[southeast]}","1.0","{[4]|[4]}"
"BIO20656+ES879","0.5","0.0","{hibiscadelphus x puakuahiwi|hibiscadelphus distans}","1.0","{Vascular Plant|Vascular Plant}","0.0","{[none]|[endangered]}","0.0","{[hau kuahiwi]|[kauai hau kuahiwi]}","1.0","{[pacific]|[pacific]}","1.0","{[1]|[1]}"
"BIO13462+http://www.wikidata.org/entity/q1813988","0.8333333333333334","1.0","{diadegma pattoni|diadegma pattoni}","1.0","{Insect|Insect}","1.0","{[none]}","0.0","{[none]|[diadegma pattoni]}","1.0","{[pacific]}","1.0","{[1]}"
"BIO43136+http://www.wikidata.org/entity/q306906","0.6666666666666666","1.0","{thamnophis sauritus|thamnophis sauritus}","1.0","{Reptile|Reptile}","0.0","{[under review]|[least concern]}","0.0","{[common ribbonsnake, eastern ribbon snake]|[eastern ribbon snake, eastern ribbonsnake, ribbon snake]}","1.0","{[northeast, midwest, southeast]}","1.0","{[5, 3, 4]}"
"BIO10597+http://www.wikidata.org/entity/q965239","0.8333333333333334","1.0","{cliona celata|cliona celata}","1.0","{Invertebrate|Invertebrate}","1.0","{[none]}","0.0","{[none]|[cliona celata]}","1.0","{[pacific southwest]}","1.0","{[8]}"
