"AttributeName","Consistency","ValueIDS","RecordIDS","Values","FusedValue","IsCorrect","CorrectValue"
"regionnames","1.0","regionnames-{BIO13432}","BIO13432","{[southeast]}","[southeast]",,
"scientificName","1.0","scientificName-{BIO20376+http://www.wikidata.org/entity/q674798}","BIO20376+http://www.wikidata.org/entity/q674798","{hermeuptychia sosybius|hermeuptychia sosybius}","hermeuptychia sosybius",,
"category","1.0","category-{BIO16806+http://www.wikidata.org/entity/q2043507}","BIO16806+http://www.wikidata.org/entity/q2043507","{Fish|Fish}","Fish",,
"scientificName","1.0","scientificName-{BIO44507+http://www.wikidata.org/entity/q1189983}","BIO44507+http://www.wikidata.org/entity/q1189983","{tyrannus forficatus|tyrannus forficatus}","tyrannus forficatus",,
"category","1.0","category-{BIO08586+http://www.wikidata.org/entity/q666300}","BIO08586+http://www.wikidata.org/entity/q666300","{Spider/Scorpion|Spider/Scorpion}","Spider/Scorpion",,
"regionnames","1.0","regionnames-{BIO32638}","BIO32638","{[pacific]}","[pacific]",,
"scientificName","1.0","scientificName-{BIO21050+ES904}","BIO21050+ES904","{huperzia mannii|huperzia mannii}","huperzia mannii",,
"category","1.0","category-{BIO23339+http://www.wikidata.org/entity/q1404234}","BIO23339+http://www.wikidata.org/entity/q1404234","{Vascular Plant|Vascular Plant}","Vascular Plant",,
"regions","1.0","regions-{BIO34673}","BIO34673","{[4]}","[4]",,
"regionnames","1.0","regionnames-{BIO14764}","BIO14764","{[pacific]}","[pacific]",,
"commonNames","0.0","commonNames-{BIO39440+http://www.wikidata.org/entity/q589378}","BIO39440+http://www.wikidata.org/entity/q589378","{[none]|[scolopendra subspinipes]}","[none, scolopendra subspinipes]",,
"category","1.0","category-{BIO04119+http://www.wikidata.org/entity/q980655}","BIO04119+http://www.wikidata.org/entity/q980655","{Fungi|Fungi}","Fungi",,
"regionnames","1.0","regionnames-{BIO36334}","BIO36334","{[pacific southwest, pacific, alaska]}","[pacific southwest, alaska, pacific]",,
"commonNames","0.0","commonNames-{BIO43024+http://www.wikidata.org/entity/q1206458}","BIO43024+http://www.wikidata.org/entity/q1206458","{[pavement ant]|[tetramorium caespitum]}","[pavement ant, tetramorium caespitum]",,
"listingStatuses","0.0","listingStatuses-{BIO35968+ES1455+http://www.wikidata.org/entity/q1619703}","BIO35968+ES1455+http://www.wikidata.org/entity/q1619703","{[under review]|[endangered]|[near threatened]}","[under review, endangered, near threatened]",,
"listingStatuses","0.0","listingStatuses-{BIO16834+http://www.wikidata.org/entity/q1166904}","BIO16834+http://www.wikidata.org/entity/q1166904","{[none]|[least concern]}","[least concern, none]",,
"commonNames","0.0","commonNames-{BIO39383+http://www.wikidata.org/entity/q1768493}","BIO39383+http://www.wikidata.org/entity/q1768493","{[mexican gray squirrel, mexican red bellied squirrel]|[mexican gray squirrel, mexican grey squirrel, bushy tailed olingo, red bellied squirrel]}","[red bellied squirrel, mexican gray squirrel, mexican grey squirrel, bushy tailed olingo, mexican red bellied squirrel]",,
"regionnames","1.0","regionnames-{BIO43329+BIO43330+ES1008}","BIO43329+BIO43330+ES1008","{[pacific]|[pacific]|[pacific]}","[pacific]",,
"regionnames","0.0","regionnames-{BIO40188+ES304}","BIO40188+ES304","{[pacific southwest, pacific]|[pacific]}","[pacific southwest, pacific]",,
"listingStatuses","1.0","listingStatuses-{BIO39281}","BIO39281","{[none]}","[none]",,
"category","1.0","category-{BIO37039+http://www.wikidata.org/entity/q59316}","BIO37039+http://www.wikidata.org/entity/q59316","{Amphibian|Amphibian}","Amphibian",,
"regionnames","1.0","regionnames-{BIO13433}","BIO13433","{[northeast, southeast]}","[northeast, southeast]",,
"regionnames","1.0","regionnames-{BIO05019}","BIO05019","{[southeast]}","[southeast]",,
"category","1.0","category-{BIO44507+http://www.wikidata.org/entity/q1189983}","BIO44507+http://www.wikidata.org/entity/q1189983","{Bird|Bird}","Bird",,
"category","1.0","category-{BIO29500+http://www.wikidata.org/entity/q76471}","BIO29500+http://www.wikidata.org/entity/q76471","{Bird|Bird}","Bird",,
"regions","1.0","regions-{BIO27457}","BIO27457","{[4, 3]}","[3, 4]",,
"regions","1.0","regions-{BIO34670}","BIO34670","{[5, 1, 7]}","[1, 5, 7]",,
"scientificName","1.0","scientificName-{BIO12870+http://www.wikidata.org/entity/q935453}","BIO12870+http://www.wikidata.org/entity/q935453","{daldinia concentrica|daldinia concentrica}","daldinia concentrica",,
"category","1.0","category-{BIO12929+http://www.wikidata.org/entity/q80838}","BIO12929+http://www.wikidata.org/entity/q80838","{Fish|Fish}","Fish",,
"commonNames","1.0","commonNames-{BIO27165+ES1427}","BIO27165+ES1427","{[noonday snail]|[noonday snail]}","[noonday snail]",,
"regions","1.0","regions-{BIO02029}","BIO02029","{[4]}","[4]",,
"scientificName","1.0","scientificName-{BIO03652+http://www.wikidata.org/entity/q792447}","BIO03652+http://www.wikidata.org/entity/q792447","{artemisiospiza belli|artemisiospiza belli}","artemisiospiza belli",,
"category","1.0","category-{BIO23971+http://www.wikidata.org/entity/q26842}","BIO23971+http://www.wikidata.org/entity/q26842","{Insect|Insect}","Insect",,
"listingStatuses","0.0","listingStatuses-{BIO44677+http://www.wikidata.org/entity/q722180}","BIO44677+http://www.wikidata.org/entity/q722180","{[none]|[near threatened]}","[none, near threatened]",,
"commonNames","0.0","commonNames-{BIO19306+http://www.wikidata.org/entity/q2093722}","BIO19306+http://www.wikidata.org/entity/q2093722","{[common map turtle, northern map turtle, map turtle]|[common map turtle, northern map turtle]}","[map turtle, northern map turtle, common map turtle]",,
"regions","0.6666666666666666","regions-{BIO09887+BIO09889+ES1138}","BIO09887+BIO09889+ES1138","{[6]|[8]|[6]}","[6, 8]",,
"category","1.0","category-{BIO38310+http://www.wikidata.org/entity/q1258146}","BIO38310+http://www.wikidata.org/entity/q1258146","{Fish|Fish}","Fish",,
"scientificName","1.0","scientificName-{BIO15338+http://www.wikidata.org/entity/q681933}","BIO15338+http://www.wikidata.org/entity/q681933","{empidonax alnorum|empidonax alnorum}","empidonax alnorum",,
"scientificName","1.0","scientificName-{BIO42952+http://www.wikidata.org/entity/q1044378}","BIO42952+http://www.wikidata.org/entity/q1044378","{terrapene carolina|terrapene carolina}","terrapene carolina",,
"category","1.0","category-{BIO00030+http://www.wikidata.org/entity/q978755}","BIO00030+http://www.wikidata.org/entity/q978755","{Vascular Plant|Vascular Plant}","Vascular Plant",,
"listingStatuses","0.0","listingStatuses-{BIO02700+http://www.wikidata.org/entity/q848772}","BIO02700+http://www.wikidata.org/entity/q848772","{[none]|[least concern]}","[least concern, none]",,
"commonNames","0.0","commonNames-{BIO23355+http://www.wikidata.org/entity/q768140}","BIO23355+http://www.wikidata.org/entity/q768140","{[glaucus winged gull, glaucous winged gull]|[glaucous winged gull]}","[glaucus winged gull, glaucous winged gull]",,
"scientificName","1.0","scientificName-{BIO28165+http://www.wikidata.org/entity/q1183020}","BIO28165+http://www.wikidata.org/entity/q1183020","{mycena epipterygia|mycena epipterygia}","mycena epipterygia",,
"listingStatuses","0.0","listingStatuses-{BIO27460+http://www.wikidata.org/entity/q1764689}","BIO27460+http://www.wikidata.org/entity/q1764689","{[none]|[least concern]}","[least concern, none]",,
"regions","1.0","regions-{BIO27458}","BIO27458","{[6, 8, 2, 1, 7]}","[1, 2, 6, 7, 8]",,
"regions","1.0","regions-{BIO34671}","BIO34671","{[8, 1, 7]}","[1, 7, 8]",,
"scientificName","1.0","scientificName-{BIO45926+http://www.wikidata.org/entity/q1766564}","BIO45926+http://www.wikidata.org/entity/q1766564","{zapus trinotatus|zapus trinotatus}","zapus trinotatus",,
"regionnames","1.0","regionnames-{BIO14762}","BIO14762","{[pacific]}","[pacific]",,
"scientificName","1.0","scientificName-{BIO45042+http://www.wikidata.org/entity/q906394}","BIO45042+http://www.wikidata.org/entity/q906394","{vermivora virginiae|vermivora virginiae}","vermivora virginiae",,
"commonNames","0.0","commonNames-{BIO41135+http://www.wikidata.org/entity/q292063}","BIO41135+http://www.wikidata.org/entity/q292063","{[russow s sphagnum]|[russows sphagnum, sphagnum russowii]}","[russow s sphagnum, sphagnum russowii, russows sphagnum]",,
"listingStatuses","1.0","listingStatuses-{BIO03909}","BIO03909","{[none]}","[none]",,
"listingStatuses","1.0","listingStatuses-{BIO36524}","BIO36524","{[none]}","[none]",,
"commonNames","0.0","commonNames-{BIO03429+http://www.wikidata.org/entity/q1107942}","BIO03429+http://www.wikidata.org/entity/q1107942","{[shiny loosejaw]|[aristostomias scintillans]}","[shiny loosejaw, aristostomias scintillans]",,
"listingStatuses","1.0","listingStatuses-{BIO30781+ES1398}","BIO30781+ES1398","{[endangered]|[endangered]}","[endangered]",,
"commonNames","1.0","commonNames-{BIO39382+http://www.wikidata.org/entity/q777282}","BIO39382+http://www.wikidata.org/entity/q777282","{[arizona gray squirrel]|[arizona gray squirrel]}","[arizona gray squirrel]",,
"regions","1.0","regions-{BIO33341}","BIO33341","{[2]}","[2]",,
"regionnames","1.0","regionnames-{BIO37662}","BIO37662","{[southeast]}","[southeast]",,
"regionnames","1.0","regionnames-{BIO13431}","BIO13431","{[southeast]}","[southeast]",,
"category","1.0","category-{BIO36432+http://www.wikidata.org/entity/q738204}","BIO36432+http://www.wikidata.org/entity/q738204","{Bird|Bird}","Bird",,
"category","1.0","category-{BIO12334+ES768}","BIO12334+ES768","{Vascular Plant|Vascular Plant}","Vascular Plant",,
"regions","1.0","regions-{BIO05889}","BIO05889","{[7]}","[7]",,
"regionnames","1.0","regionnames-{BIO17396}","BIO17396","{[northeast, southeast]}","[northeast, southeast]",,
"scientificName","0.6666666666666666","scientificName-{BIO02435+BIO02436+http://www.wikidata.org/entity/q1758845}","BIO02435+BIO02436+http://www.wikidata.org/entity/q1758845","{antheraea polyphemus|antherea polyphemus|antheraea polyphemus}","antherea polyphemus",,
"category","1.0","category-{BIO13873+http://www.wikidata.org/entity/q2181405}","BIO13873+http://www.wikidata.org/entity/q2181405","{Insect|Insect}","Insect",,
"listingStatuses","0.0","listingStatuses-{BIO29552+http://www.wikidata.org/entity/q1832615}","BIO29552+http://www.wikidata.org/entity/q1832615","{[species of concern]|[least concern]}","[least concern, species of concern]",,
"scientificName","1.0","scientificName-{BIO38310+http://www.wikidata.org/entity/q1258146}","BIO38310+http://www.wikidata.org/entity/q1258146","{rypticus saponaceus|rypticus saponaceus}","rypticus saponaceus",,
"scientificName","1.0","scientificName-{BIO26466+http://www.wikidata.org/entity/q322145}","BIO26466+http://www.wikidata.org/entity/q322145","{martes americana|martes americana}","martes americana",,
"listingStatuses","1.0","listingStatuses-{BIO19519+ES1364}","BIO19519+ES1364","{[endangered]|[endangered]}","[endangered]",,
"listingStatuses","0.0","listingStatuses-{BIO26487+ES1085}","BIO26487+ES1085","{[none]|[threatened]}","[threatened, none]",,
"listingStatuses","1.0","listingStatuses-{BIO13756}","BIO13756","{[none]}","[none]",,
"category","1.0","category-{BIO37220+http://www.wikidata.org/entity/q556524}","BIO37220+http://www.wikidata.org/entity/q556524","{Fish|Fish}","Fish",,
"category","1.0","category-{BIO29429+http://www.wikidata.org/entity/q1552306}","BIO29429+http://www.wikidata.org/entity/q1552306","{Amphibian|Amphibian}","Amphibian",,
"regions","1.0","regions-{BIO27322}","BIO27322","{[8]}","[8]",,
"commonNames","0.0","commonNames-{BIO31397+http://www.wikidata.org/entity/q2114581}","BIO31397+http://www.wikidata.org/entity/q2114581","{[none]|[parapsyche almota]}","[parapsyche almota, none]",,
"scientificName","1.0","scientificName-{BIO45677+http://www.wikidata.org/entity/q1835159}","BIO45677+http://www.wikidata.org/entity/q1835159","{xeneretmus leiops|xeneretmus leiops}","xeneretmus leiops",,
"commonNames","0.0","commonNames-{BIO42827+http://www.wikidata.org/entity/q1723511}","BIO42827+http://www.wikidata.org/entity/q1723511","{[american yew, canada yew]|[canada yew, canadian yew, taxus canadensis]}","[american yew, canadian yew, canada yew, taxus canadensis]",,
"listingStatuses","1.0","listingStatuses-{BIO12558}","BIO12558","{[none]}","[none]",,
"regionnames","1.0","regionnames-{BIO11164}","BIO11164","{[pacific]}","[pacific]",,
"commonNames","1.0","commonNames-{BIO34791+http://www.wikidata.org/entity/q773487}","BIO34791+http://www.wikidata.org/entity/q773487","{[tropical gnatcatcher]|[tropical gnatcatcher]}","[tropical gnatcatcher]",,
"scientificName","1.0","scientificName-{BIO12995+http://www.wikidata.org/entity/q756964}","BIO12995+http://www.wikidata.org/entity/q756964","{dasyatis sabina|dasyatis sabina}","dasyatis sabina",,
"commonNames","0.0","commonNames-{BIO42567+http://www.wikidata.org/entity/q1548397}","BIO42567+http://www.wikidata.org/entity/q1548397","{[common flower fly]|[syrphus ribesii]}","[syrphus ribesii, common flower fly]",,
"listingStatuses","0.0","listingStatuses-{BIO19567+http://www.wikidata.org/entity/q1817566}","BIO19567+http://www.wikidata.org/entity/q1817566","{[none]|[least concern]}","[least concern, none]",,
"category","1.0","category-{BIO01995+http://www.wikidata.org/entity/q766704}","BIO01995+http://www.wikidata.org/entity/q766704","{Insect|Insect}","Insect",,
"category","1.0","category-{BIO15463+http://www.wikidata.org/entity/q2149892}","BIO15463+http://www.wikidata.org/entity/q2149892","{Fish|Fish}","Fish",,
"category","1.0","category-{BIO16804+http://www.wikidata.org/entity/q2062031}","BIO16804+http://www.wikidata.org/entity/q2062031","{Fish|Fish}","Fish",,
"category","1.0","category-{BIO30092+BIO30095+ES1122}","BIO30092+BIO30095+ES1122","{Fish|Fish|Fish}","Fish",,
"listingStatuses","0.0","listingStatuses-{BIO43721+http://www.wikidata.org/entity/q931391}","BIO43721+http://www.wikidata.org/entity/q931391","{[none]|[least concern]}","[least concern, none]",,
"commonNames","0.0","commonNames-{BIO17873+http://www.wikidata.org/entity/q883017}","BIO17873+http://www.wikidata.org/entity/q883017","{[cornetfish]|[unarmed trumpetfish, tobacco trumpetfish, blue spotted cornetfish, fistularia tabacaria]}","[tobacco trumpetfish, unarmed trumpetfish, fistularia tabacaria, blue spotted cornetfish, cornetfish]",,
"regionnames","1.0","regionnames-{BIO37668}","BIO37668","{[pacific southwest]}","[pacific southwest]",,
"commonNames","0.0","commonNames-{BIO08628+http://www.wikidata.org/entity/q1054556}","BIO08628+http://www.wikidata.org/entity/q1054556","{[twotoothed cephalozia, slender two toothed wort]|[cephalozia bicuspidata]}","[cephalozia bicuspidata, twotoothed cephalozia, slender two toothed wort]",,
"listingStatuses","1.0","listingStatuses-{BIO24520+ES462}","BIO24520+ES462","{[threatened]|[threatened]}","[threatened]",,
"scientificName","1.0","scientificName-{BIO41000+http://www.wikidata.org/entity/q683961}","BIO41000+http://www.wikidata.org/entity/q683961","{speyeria cybele|speyeria cybele}","speyeria cybele",,
"regions","1.0","regions-{BIO34411}","BIO34411","{[8, 1, 7]}","[1, 7, 8]",,
"regionnames","1.0","regionnames-{BIO38866}","BIO38866","{[pacific southwest, mountain prairie]}","[pacific southwest, mountain prairie]",,
"category","1.0","category-{BIO39046+BIO39047+http://www.wikidata.org/entity/q1767406}","BIO39046+BIO39047+http://www.wikidata.org/entity/q1767406","{Mammal|Mammal|Mammal}","Mammal",,
"category","1.0","category-{BIO00375+http://www.wikidata.org/entity/q2038903}","BIO00375+http://www.wikidata.org/entity/q2038903","{Insect|Insect}","Insect",,
"scientificName","1.0","scientificName-{BIO00375+http://www.wikidata.org/entity/q2038903}","BIO00375+http://www.wikidata.org/entity/q2038903","{achryson surinamum|achryson surinamum}","achryson surinamum",,
"listingStatuses","1.0","listingStatuses-{BIO02839}","BIO02839","{[none]}","[none]",,
"listingStatuses","1.0","listingStatuses-{BIO32956}","BIO32956","{[none]}","[none]",,
"category","1.0","category-{BIO23435+http://www.wikidata.org/entity/q1461883}","BIO23435+http://www.wikidata.org/entity/q1461883","{Insect|Insect}","Insect",,
"scientificName","1.0","scientificName-{BIO04818+http://www.wikidata.org/entity/q799010}","BIO04818+http://www.wikidata.org/entity/q799010","{badhamia utricularis|badhamia utricularis}","badhamia utricularis",,
"scientificName","1.0","scientificName-{BIO32626+http://www.wikidata.org/entity/q2056426}","BIO32626+http://www.wikidata.org/entity/q2056426","{peucetia longipalpis|peucetia longipalpis}","peucetia longipalpis",,
"scientificName","1.0","scientificName-{BIO29616+http://www.wikidata.org/entity/q607024}","BIO29616+http://www.wikidata.org/entity/q607024","{oceanites oceanicus|oceanites oceanicus}","oceanites oceanicus",,
"regionnames","1.0","regionnames-{BIO17398}","BIO17398","{[southeast]}","[southeast]",,
"listingStatuses","1.0","listingStatuses-{BIO34251}","BIO34251","{[none]}","[none]",,
"commonNames","0.0","commonNames-{BIO09155+http://www.wikidata.org/entity/q18855}","BIO09155+http://www.wikidata.org/entity/q18855","{[kentish plover, snowy plover]|[kentish plover]}","[kentish plover, snowy plover]",,
"category","1.0","category-{BIO14745+ES245}","BIO14745+ES245","{Vascular Plant|Vascular Plant}","Vascular Plant",,
"regionnames","1.0","regionnames-{BIO19793}","BIO19793","{[pacific]}","[pacific]",,
"listingStatuses","0.0","listingStatuses-{BIO23368+http://www.wikidata.org/entity/q632588}","BIO23368+http://www.wikidata.org/entity/q632588","{[none]|[least concern]}","[least concern, none]",,
"regions","1.0","regions-{BIO12320+ES18}","BIO12320+ES18","{[1]|[1]}","[1]",,
"listingStatuses","0.0","listingStatuses-{BIO23003+ES430}","BIO23003+ES430","{[none]|[endangered]}","[endangered, none]",,
"scientificName","1.0","scientificName-{BIO33297+http://www.wikidata.org/entity/q1245140}","BIO33297+http://www.wikidata.org/entity/q1245140","{phorodon humuli|phorodon humuli}","phorodon humuli",,
"listingStatuses","1.0","listingStatuses-{BIO02709}","BIO02709","{[none]}","[none]",,
"commonNames","1.0","commonNames-{BIO41271+ES574}","BIO41271+ES574","{[virginia spiraea]|[virginia spiraea]}","[virginia spiraea]",,
"scientificName","1.0","scientificName-{BIO40781+http://www.wikidata.org/entity/q291371}","BIO40781+http://www.wikidata.org/entity/q291371","{somatochlora franklini|somatochlora franklini}","somatochlora franklini",,
"scientificName","1.0","scientificName-{BIO29429+http://www.wikidata.org/entity/q1552306}","BIO29429+http://www.wikidata.org/entity/q1552306","{notophthalmus viridescens|notophthalmus viridescens}","notophthalmus viridescens",,
"commonNames","0.0","commonNames-{BIO45924+http://www.wikidata.org/entity/q1767384}","BIO45924+http://www.wikidata.org/entity/q1767384","{[western jumping mouse]|[western jumping mouse, pacific jumping mouse, zapus princeps]}","[pacific jumping mouse, zapus princeps, western jumping mouse]",,
"commonNames","0.0","commonNames-{BIO13864+http://www.wikidata.org/entity/q2167819}","BIO13864+http://www.wikidata.org/entity/q2167819","{[none]|[diguetia canities]}","[diguetia canities, none]",,
"listingStatuses","1.0","listingStatuses-{BIO04352+ES141}","BIO04352+ES141","{[threatened]|[threatened]}","[threatened]","true","[threatened]"
"commonNames","0.0","commonNames-{BIO02349+http://www.wikidata.org/entity/q935471}","BIO02349+http://www.wikidata.org/entity/q935471","{[none]|[anoplolepis gracilipes]}","[anoplolepis gracilipes, none]",,
"category","1.0","category-{BIO45926+http://www.wikidata.org/entity/q1766564}","BIO45926+http://www.wikidata.org/entity/q1766564","{Mammal|Mammal}","Mammal",,
"scientificName","0.5","scientificName-{BIO41842+BIO41860+ES1657+http://www.wikidata.org/entity/q28168}","BIO41842+BIO41860+ES1657+http://www.wikidata.org/entity/q28168","{sterna antillarum|sternula antillarum|sterna antillarum browni|sternula antillarum}","sternula antillarum",,
"scientificName","1.0","scientificName-{BIO11549+ES713}","BIO11549+ES713","{coryphantha ramillosa|coryphantha ramillosa}","coryphantha ramillosa",,
"regions","1.0","regions-{BIO33346}","BIO33346","{[1, 6]}","[1, 6]",,
"regionnames","1.0","regionnames-{BIO37667}","BIO37667","{[pacific]}","[pacific]",,
"category","1.0","category-{BIO10303+BIO10304+http://www.wikidata.org/entity/q2084404}","BIO10303+BIO10304+http://www.wikidata.org/entity/q2084404","{Fungi|Fungi|Fungi}","Fungi",,
"regionnames","1.0","regionnames-{BIO11166}","BIO11166","{[pacific]}","[pacific]",,
"category","1.0","category-{BIO25757+http://www.wikidata.org/entity/q740169}","BIO25757+http://www.wikidata.org/entity/q740169","{Insect|Insect}","Insect",,
"scientificName","1.0","scientificName-{BIO16804+http://www.wikidata.org/entity/q2062031}","BIO16804+http://www.wikidata.org/entity/q2062031","{etelis oculatus|etelis oculatus}","etelis oculatus",,
"scientificName","1.0","scientificName-{BIO40860+http://www.wikidata.org/entity/q1766857}","BIO40860+http://www.wikidata.org/entity/q1766857","{sorex yukonicus|sorex yukonicus}","sorex yukonicus",,
"commonNames","0.0","commonNames-{BIO21484+http://www.wikidata.org/entity/q851533}","BIO21484+http://www.wikidata.org/entity/q851533","{[galium sphix moth]|[bedstraw hawk moth, hyles gallii]}","[bedstraw hawk moth, galium sphix moth, hyles gallii]",,
"scientificName","1.0","scientificName-{BIO04948+http://www.wikidata.org/entity/q601755}","BIO04948+http://www.wikidata.org/entity/q601755","{barbilophozia lycopodioides|barbilophozia lycopodioides}","barbilophozia lycopodioides",,
"regionnames","1.0","regionnames-{BIO36203}","BIO36203","{[alaska]}","[alaska]",,
"regionnames","1.0","regionnames-{BIO36336}","BIO36336","{[pacific southwest]}","[pacific southwest]",,
"listingStatuses","1.0","listingStatuses-{BIO32954}","BIO32954","{[none]}","[none]",,
"regionnames","1.0","regionnames-{BIO38864}","BIO38864","{[northeast, southeast]}","[northeast, southeast]",,
"commonNames","1.0","commonNames-{BIO01683+http://www.wikidata.org/entity/q833957}","BIO01683+http://www.wikidata.org/entity/q833957","{[brown bullhead]|[brown bullhead]}","[brown bullhead]",,
"scientificName","1.0","scientificName-{BIO13873+http://www.wikidata.org/entity/q2181405}","BIO13873+http://www.wikidata.org/entity/q2181405","{dinapate wrightii|dinapate wrightii}","dinapate wrightii",,
"commonNames","0.0","commonNames-{BIO27804+http://www.wikidata.org/entity/q901568}","BIO27804+http://www.wikidata.org/entity/q901568","{[brownn headed cowbird, eastern cowbird, cowbird, brown headed cowbird]|[brown headed cowbird]}","[brown headed cowbird, eastern cowbird, cowbird, brownn headed cowbird]",,
"regionnames","0.0","regionnames-{BIO16468+ES626}","BIO16468+ES626","{[pacific southwest, pacific]|[pacific southwest]}","[pacific southwest, pacific]",,
"commonNames","0.0","commonNames-{BIO36411+http://www.wikidata.org/entity/q2093600}","BIO36411+http://www.wikidata.org/entity/q2093600","{[none]|[ptilostomis ocellifera]}","[none, ptilostomis ocellifera]",,
"category","1.0","category-{BIO00705+http://www.wikidata.org/entity/q1262009}","BIO00705+http://www.wikidata.org/entity/q1262009","{Bird|Bird}","Bird",,
"scientificName","1.0","scientificName-{BIO30449+http://www.wikidata.org/entity/q594810}","BIO30449+http://www.wikidata.org/entity/q594810","{oreortyx pictus|oreortyx pictus}","oreortyx pictus",,
"regions","1.0","regions-{BIO08253}","BIO08253","{[5, 6, 8, 2, 1, 7, 4, 3]}","[1, 2, 3, 4, 5, 6, 7, 8]",,
"listingStatuses","1.0","listingStatuses-{BIO16712+ES931}","BIO16712+ES931","{[endangered]|[endangered]}","[endangered]",,
"listingStatuses","0.0","listingStatuses-{BIO00392+ES1476+http://www.wikidata.org/entity/q592876}","BIO00392+ES1476+http://www.wikidata.org/entity/q592876","{[none]|[endangered]|[least concern]}","[least concern, endangered, none]","false","[endangered]"
"category","1.0","category-{BIO28165+http://www.wikidata.org/entity/q1183020}","BIO28165+http://www.wikidata.org/entity/q1183020","{Fungi|Fungi}","Fungi",,
"listingStatuses","0.6666666666666666","listingStatuses-{BIO04198+BIO04199+ES106}","BIO04198+BIO04199+ES106","{[none]|[endangered]|[endangered]}","[endangered, none]",,
"commonNames","0.0","commonNames-{BIO38864+http://www.wikidata.org/entity/q550382}","BIO38864+http://www.wikidata.org/entity/q550382","{[banded hairstreak]|[banded hairstreak, satyrium calanus]}","[banded hairstreak, satyrium calanus]",,
"commonNames","0.0","commonNames-{BIO45870+http://www.wikidata.org/entity/q291846}","BIO45870+http://www.wikidata.org/entity/q291846","{[thompson s yucca, beaked yucca]|[thompsons yucca, yucca thompsoniana]}","[yucca thompsoniana, beaked yucca, thompson s yucca, thompsons yucca]",,
"category","1.0","category-{BIO02255+http://www.wikidata.org/entity/q1349764}","BIO02255+http://www.wikidata.org/entity/q1349764","{Insect|Insect}","Insect",,
"regionnames","1.0","regionnames-{BIO30101}","BIO30101","{[pacific southwest, pacific, midwest, alaska]}","[pacific southwest, alaska, midwest, pacific]",,
"listingStatuses","1.0","listingStatuses-{BIO16256}","BIO16256","{[none]}","[none]",,
"commonNames","0.0","commonNames-{BIO14192+http://www.wikidata.org/entity/q2133831}","BIO14192+http://www.wikidata.org/entity/q2133831","{[none]|[dolichopeza johnsonella]}","[none, dolichopeza johnsonella]",,
"commonNames","0.0","commonNames-{BIO42826+http://www.wikidata.org/entity/q2065540}","BIO42826+http://www.wikidata.org/entity/q2065540","{[western yew, pacific yew]|[pacific yew, western yew, canadian yew, taxus brevifolia]}","[canadian yew, pacific yew, western yew, taxus brevifolia]",,
"scientificName","1.0","scientificName-{BIO31082+http://www.wikidata.org/entity/q608214}","BIO31082+http://www.wikidata.org/entity/q608214","{pandalus hypsinotus|pandalus hypsinotus}","pandalus hypsinotus",,
"regions","1.0","regions-{BIO14142}","BIO14142","{[8]}","[8]",,
"category","1.0","category-{BIO00951+http://www.wikidata.org/entity/q1816463}","BIO00951+http://www.wikidata.org/entity/q1816463","{Insect|Insect}","Insect",,
