"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] StringAttributeComparatorEqual.scientificName record1Value","[0] StringAttributeComparatorEqual.scientificName record2Value","[0] StringAttributeComparatorEqual.scientificName record1PreprocessedValue","[0] StringAttributeComparatorEqual.scientificName record2PreprocessedValue","[0] StringAttributeComparatorEqual.scientificName similarity","[0] StringAttributeComparatorEqual.scientificName postproccesedSimilarity"
"LinearCombinationMatchingRule","BIO15616","ES1185","0.0",,"ephemerella","megalagrion pacificum","ephemerella","megalagrion pacificum","0.0","0.0"
"LinearCombinationMatchingRule","BIO28912","ES1127","0.0",,"neotermes","hesperia leonardus montana","neotermes","hesperia leonardus montana","0.0","0.0"
"LinearCombinationMatchingRule","BIO17567","ES1148","0.0",,"evylaeus foxii","bombus affinis","evylaeus foxii","bombus affinis","0.0","0.0"
"LinearCombinationMatchingRule","BIO42892","ES1501","0.0",,"temnochila","icaricia (plebejus) shasta charlestonensis","temnochila","icaricia (plebejus) shasta charlestonensis","0.0","0.0"
"LinearCombinationMatchingRule","BIO37293","ES1524","0.0",,"rhacochilus toxotes","crenichthys nevadae","rhacochilus toxotes","crenichthys nevadae","0.0","0.0"
"LinearCombinationMatchingRule","BIO21928","ES1300","0.0",,"icelinus cavifrons","percina aurolineata","icelinus cavifrons","percina aurolineata","0.0","0.0"
"LinearCombinationMatchingRule","BIO39598","ES1003","0.0",,"sebastes brevispinis","noturus stanauli","sebastes brevispinis","noturus stanauli","0.0","0.0"
"LinearCombinationMatchingRule","BIO37293","ES1525","0.0",,"rhacochilus toxotes","etheostoma boschungi","rhacochilus toxotes","etheostoma boschungi","0.0","0.0"
"LinearCombinationMatchingRule","BIO41223","ES1502","0.0",,"spilosoma virginica","drosophila heteroneura","spilosoma virginica","drosophila heteroneura","0.0","0.0"
"LinearCombinationMatchingRule","BIO14195","ES1509","0.0",,"dolichopodidae","megalagrion nesiotes","dolichopodidae","megalagrion nesiotes","0.0","0.0"
"LinearCombinationMatchingRule","BIO14549","ES1024","0.0",,"drosophila paracracens","hesperia dacotae","drosophila paracracens","hesperia dacotae","0.0","0.0"
"LinearCombinationMatchingRule","BIO09426","ES1526","0.0",,"chironomus crassiforceps","hypolimnas octocula marianensis","chironomus crassiforceps","hypolimnas octocula marianensis","0.0","0.0"
"LinearCombinationMatchingRule","BIO29146","ES1290","0.0",,"nesosydne koaephyllodii","batrisodes texanus","nesosydne koaephyllodii","batrisodes texanus","0.0","0.0"
"LinearCombinationMatchingRule","BIO09237","ES1582","0.0",,"cheilopogon melanurus","etheostoma trisella","cheilopogon melanurus","etheostoma trisella","0.0","0.0"
"LinearCombinationMatchingRule","BIO41486","ES1509","0.0",,"staphylinae sp. 5","megalagrion nesiotes","staphylinae sp. 5","megalagrion nesiotes","0.0","0.0"
"LinearCombinationMatchingRule","BIO22552","ES1617","0.0",,"julodia instabilis","drosophila mulli","julodia instabilis","drosophila mulli","0.0","0.0"
"LinearCombinationMatchingRule","BIO21608","ES1251","0.0",,"hyperaspis silvestrii","lycaeides argyrognomon lotis","hyperaspis silvestrii","lycaeides argyrognomon lotis","0.0","0.0"
"LinearCombinationMatchingRule","BIO27088","ES1530","0.0",,"mergus serrator","paroreomyza maculata","mergus serrator","paroreomyza maculata","0.0","0.0"
"LinearCombinationMatchingRule","BIO43509","ES1480","0.0",,"tinotus sp.123","euphilotes enoptes smithi","tinotus sp.123","euphilotes enoptes smithi","0.0","0.0"
"LinearCombinationMatchingRule","BIO11536","ES1153","0.0",,"coryphaenoides acrolepis","deltistes luxatus","coryphaenoides acrolepis","deltistes luxatus","0.0","0.0"
"LinearCombinationMatchingRule","BIO42239","ES1364","0.0",,"surnia ulula","gymnogyps californianus","surnia ulula","gymnogyps californianus","0.0","0.0"
"LinearCombinationMatchingRule","BIO27096","ES1547","0.0",,"meringodixa","polyphylla barbata","meringodixa","polyphylla barbata","0.0","0.0"
"LinearCombinationMatchingRule","BIO42255","ES1118","0.0",,"sweltsa lamba","drosophila sharpi","sweltsa lamba","drosophila sharpi","0.0","0.0"
"LinearCombinationMatchingRule","BIO13468","ES1334","0.0",,"diadophis punctatus regalis","clemmys muhlenbergii","diadophis punctatus regalis","clemmys muhlenbergii","0.0","0.0"
"LinearCombinationMatchingRule","BIO33710","ES1656","0.0",,"pinicola enucleator","strix occidentalis caurina","pinicola enucleator","strix occidentalis caurina","0.0","0.0"
"LinearCombinationMatchingRule","BIO10583","ES1357","0.0",,"clinocottus recalvus","gila bicolor ssp. snyderi","clinocottus recalvus","gila bicolor ssp. snyderi","0.0","0.0"
"LinearCombinationMatchingRule","BIO05084","ES1444","0.0",,"belonesox belizanus","etheostoma susanae","belonesox belizanus","etheostoma susanae","0.0","0.0"
"LinearCombinationMatchingRule","BIO34854","ES1394","0.0",,"polycentropus confusus","stygoparnus comalensis","polycentropus confusus","stygoparnus comalensis","0.0","0.0"
"LinearCombinationMatchingRule","BIO02077","ES1313","0.0",,"andrena nasonii","hylaeus assimulans","andrena nasonii","hylaeus assimulans","0.0","0.0"
"LinearCombinationMatchingRule","BIO15529","ES1093","0.0",,"entomacrodus nigricans","gambusia gaigei","entomacrodus nigricans","gambusia gaigei","0.0","0.0"
"LinearCombinationMatchingRule","BIO12997","ES1185","0.0",,"dasychira basiflava","megalagrion pacificum","dasychira basiflava","megalagrion pacificum","0.0","0.0"
"LinearCombinationMatchingRule","BIO11244","ES1097","0.0",,"coragyps atratus","anas laysanensis","coragyps atratus","anas laysanensis","0.0","0.0"
"LinearCombinationMatchingRule","BIO33434","ES1123","0.0",,"phymatocera smilacinae","euphydryas editha taylori","phymatocera smilacinae","euphydryas editha taylori","0.0","0.0"
"LinearCombinationMatchingRule","BIO31201","ES999","0.0",,"pantala hymenaea","anaea troglodyta floridalis","pantala hymenaea","anaea troglodyta floridalis","0.0","0.0"
"LinearCombinationMatchingRule","BIO26467","ES1246","0.0",,"martes americana caurina","enhydra lutris kenyoni","martes americana caurina","enhydra lutris kenyoni","0.0","0.0"
"LinearCombinationMatchingRule","BIO24963","ES1204","0.0",,"lispocephala badia","dinacoma caseyi","lispocephala badia","dinacoma caseyi","0.0","0.0"
"LinearCombinationMatchingRule","BIO27767","ES1138","0.0",,"mocis texana","cicindela nevadica lincolniana","mocis texana","cicindela nevadica lincolniana","0.0","0.0"
"LinearCombinationMatchingRule","BIO02428","ES1091","0.0",,"anthaxia inornata","pyrgus ruralis lagunae","anthaxia inornata","pyrgus ruralis lagunae","0.0","0.0"
"LinearCombinationMatchingRule","BIO05021","ES1648","0.0",,"bathyraja abyssicola","cyprinella caerulea","bathyraja abyssicola","cyprinella caerulea","0.0","0.0"
"LinearCombinationMatchingRule","BIO26648","ES1417","0.0",,"megalagrion leptodemus","lednia tumana","megalagrion leptodemus","lednia tumana","0.0","0.0"
"LinearCombinationMatchingRule","BIO30435","ES1267","0.0",,"oreochromis aureus","cyprinodon nevadensis pectoralis","oreochromis aureus","cyprinodon nevadensis pectoralis","0.0","0.0"
"LinearCombinationMatchingRule","BIO22387","ES1454","0.0",,"isopsetta isolepis","cottus specus","isopsetta isolepis","cottus specus","0.0","0.0"
"LinearCombinationMatchingRule","BIO02036","ES1534","0.0",,"anchyteis valutine","rhaphiomidas terminatus abdominalis","anchyteis valutine","rhaphiomidas terminatus abdominalis","0.0","0.0"
"LinearCombinationMatchingRule","BIO02663","ES969","0.0",,"apatania shoshone","cicindelidia floridana","apatania shoshone","cicindelidia floridana","0.0","0.0"
"LinearCombinationMatchingRule","BIO43697","ES1155","0.0",,"toxeuma hawaiiensis","heraclides aristodemus ponceanus","toxeuma hawaiiensis","heraclides aristodemus ponceanus","0.0","0.0"
"LinearCombinationMatchingRule","BIO31426","ES1091","0.0",,"paratettix cucullatus","pyrgus ruralis lagunae","paratettix cucullatus","pyrgus ruralis lagunae","0.0","0.0"
"LinearCombinationMatchingRule","BIO29108","ES1266","0.0",,"nesophrosyne insularis","rhadine exilis","nesophrosyne insularis","rhadine exilis","0.0","0.0"
"LinearCombinationMatchingRule","BIO28901","ES1116","0.0",,"neosteles sp. 2","euchloe ausonides insulanus","neosteles sp. 2","euchloe ausonides insulanus","0.0","0.0"
"LinearCombinationMatchingRule","BIO10114","ES1116","0.0",,"cisthene packardii","euchloe ausonides insulanus","cisthene packardii","euchloe ausonides insulanus","0.0","0.0"
"LinearCombinationMatchingRule","BIO36255","ES1059","0.0",,"psychoda","pseudocopaeodes eunus obscurus","psychoda","pseudocopaeodes eunus obscurus","0.0","0.0"
"LinearCombinationMatchingRule","BIO20809","ES1608","0.0",,"hockeria hainesi","hylaeus mana","hockeria hainesi","hylaeus mana","0.0","0.0"
"LinearCombinationMatchingRule","BIO02074","ES1321","0.0",,"andrena lupinorum","hylaeus kuakea","andrena lupinorum","hylaeus kuakea","0.0","0.0"
"LinearCombinationMatchingRule","BIO43361","ES1076","0.0",,"thryomanes bewickii bewickii","corvus kubaryi","thryomanes bewickii bewickii","corvus kubaryi","0.0","0.0"
"LinearCombinationMatchingRule","BIO26697","ES1203","0.0",,"megasyrphus laxus","cicindela ohlone","megasyrphus laxus","cicindela ohlone","0.0","0.0"
"LinearCombinationMatchingRule","BIO29572","ES1204","0.0",,"nymphalis antiopa antiopa","dinacoma caseyi","nymphalis antiopa antiopa","dinacoma caseyi","0.0","0.0"
"LinearCombinationMatchingRule","BIO45060","ES1043","0.0",,"veromessor lariversi","hylaeus anthracinus","veromessor lariversi","hylaeus anthracinus","0.0","0.0"
"LinearCombinationMatchingRule","BIO05566","ES1094","0.0",,"bombus frigidus","cyclargus ( hemiargus) thomasi bethunebakeri","bombus frigidus","cyclargus ( hemiargus) thomasi bethunebakeri","0.0","0.0"
"LinearCombinationMatchingRule","BIO11057","ES1509","0.0",,"conanthalictus caerulescens","megalagrion nesiotes","conanthalictus caerulescens","megalagrion nesiotes","0.0","0.0"
"LinearCombinationMatchingRule","BIO37628","ES1287","0.0",,"rhyacophila formosa","drosophila aglaia","rhyacophila formosa","drosophila aglaia","0.0","0.0"
"LinearCombinationMatchingRule","BIO28250","ES1554","0.0",,"myiarchus crinitus boreus","coccyzus americanus","myiarchus crinitus boreus","coccyzus americanus","0.0","0.0"
"LinearCombinationMatchingRule","BIO45130","ES1116","0.0",,"vespula arenaria","euchloe ausonides insulanus","vespula arenaria","euchloe ausonides insulanus","0.0","0.0"
"LinearCombinationMatchingRule","BIO02664","ES969","0.0",,"apatania sorex","cicindelidia floridana","apatania sorex","cicindelidia floridana","0.0","0.0"
"LinearCombinationMatchingRule","BIO36503","ES1570","0.0",,"puffinus gravis","vireo bellii pusillus","puffinus gravis","vireo bellii pusillus","0.0","0.0"
"LinearCombinationMatchingRule","BIO17534","ES1118","0.0",,"euxoa pluralis","drosophila sharpi","euxoa pluralis","drosophila sharpi","0.0","0.0"
"LinearCombinationMatchingRule","BIO46002","ES992","0.0",,"zonotrichia leucophrys leucophrys","myadestes myadestinus","zonotrichia leucophrys leucophrys","myadestes myadestinus","0.0","0.0"
"LinearCombinationMatchingRule","BIO01673","ES1000","0.0",,"ambystoma talpoideum","rana muscosa","ambystoma talpoideum","rana muscosa","0.0","0.0"
"LinearCombinationMatchingRule","BIO14585","ES1061","0.0",,"drosophila sulfurigaster","bombus franklini","drosophila sulfurigaster","bombus franklini","0.0","0.0"
"LinearCombinationMatchingRule","BIO28820","ES1041","0.0",,"neoconocephalus retusus","batrisodes venyivi","neoconocephalus retusus","batrisodes venyivi","0.0","0.0"
"LinearCombinationMatchingRule","BIO05560","ES1091","0.0",,"bombus bifarius","pyrgus ruralis lagunae","bombus bifarius","pyrgus ruralis lagunae","0.0","0.0"
"LinearCombinationMatchingRule","BIO32310","ES1404","0.0",,"percina shumardi","cyprinella formosa","percina shumardi","cyprinella formosa","0.0","0.0"
"LinearCombinationMatchingRule","BIO09253","ES1347","0.0",,"chelipoda","oarisma poweshiek","chelipoda","oarisma poweshiek","0.0","0.0"
"LinearCombinationMatchingRule","BIO23529","ES1437","0.0",,"laupala cerasina","apodemia mormo langei","laupala cerasina","apodemia mormo langei","0.0","0.0"
"LinearCombinationMatchingRule","BIO12823","ES1273","0.0",,"dacoderus laevipennis","neonympha mitchellii mitchellii","dacoderus laevipennis","neonympha mitchellii mitchellii","0.0","0.0"
"LinearCombinationMatchingRule","BIO14771","ES1232","0.0",,"dumetella carolinensis","loxops ochraceus","dumetella carolinensis","loxops ochraceus","0.0","0.0"
"LinearCombinationMatchingRule","BIO14771","ES1233","0.0",,"dumetella carolinensis","brachyramphus marmoratus","dumetella carolinensis","brachyramphus marmoratus","0.0","0.0"
"LinearCombinationMatchingRule","BIO01548","ES1138","0.0",,"amara sp. 176","cicindela nevadica lincolniana","amara sp. 176","cicindela nevadica lincolniana","0.0","0.0"
"LinearCombinationMatchingRule","BIO43116","ES1085","0.0",,"thamnophis atratus","masticophis lateralis euryxanthus","thamnophis atratus","masticophis lateralis euryxanthus","0.0","0.0"
"LinearCombinationMatchingRule","BIO33315","ES1003","0.0",,"phoxinus neogaeus","noturus stanauli","phoxinus neogaeus","noturus stanauli","0.0","0.0"
"LinearCombinationMatchingRule","BIO35702","ES960","0.0",,"progomphus","speyeria zerene hippolyta","progomphus","speyeria zerene hippolyta","0.0","0.0"
"LinearCombinationMatchingRule","BIO10567","ES1595","0.0",,"clevelandia ios","percina tanasi","clevelandia ios","percina tanasi","0.0","0.0"
"LinearCombinationMatchingRule","BIO25364","ES1547","0.0",,"lordithon poecilus","polyphylla barbata","lordithon poecilus","polyphylla barbata","0.0","0.0"
"LinearCombinationMatchingRule","BIO11623","ES1247","0.0",,"cottus beldingii","oncorhynchus gilae","cottus beldingii","oncorhynchus gilae","0.0","0.0"
"LinearCombinationMatchingRule","BIO37063","ES1550","0.0",,"ranatra montezuma","glaucopsyche lygdamus palosverdesensis","ranatra montezuma","glaucopsyche lygdamus palosverdesensis","0.0","0.0"
"LinearCombinationMatchingRule","BIO27201","ES960","0.0",,"mestolobes ochrias","speyeria zerene hippolyta","mestolobes ochrias","speyeria zerene hippolyta","0.0","0.0"
"LinearCombinationMatchingRule","BIO39465","ES1393","0.0",,"scopeumatidae","desmocerus californicus dimorphus","scopeumatidae","desmocerus californicus dimorphus","0.0","0.0"
"LinearCombinationMatchingRule","BIO41957","ES1148","0.0",,"stirellus obtutus","bombus affinis","stirellus obtutus","bombus affinis","0.0","0.0"
"LinearCombinationMatchingRule","BIO19158","ES1028","0.0",,"gobionellus smaragdus","speoplatyrhinus poulsoni","gobionellus smaragdus","speoplatyrhinus poulsoni","0.0","0.0"
"LinearCombinationMatchingRule","BIO30438","ES1266","0.0",,"oreodytes","rhadine exilis","oreodytes","rhadine exilis","0.0","0.0"
"LinearCombinationMatchingRule","BIO27185","ES1638","0.0",,"mesoplodon stejnegeri","microtus californicus scirpensis","mesoplodon stejnegeri","microtus californicus scirpensis","0.0","0.0"
"LinearCombinationMatchingRule","BIO28200","ES1505","0.0",,"mycetaulus","hylaeus hilaris","mycetaulus","hylaeus hilaris","0.0","0.0"
"LinearCombinationMatchingRule","BIO02683","ES1091","0.0",,"aphaenogaster mutica","pyrgus ruralis lagunae","aphaenogaster mutica","pyrgus ruralis lagunae","0.0","0.0"
"LinearCombinationMatchingRule","BIO36269","ES963","0.0",,"psychoglypha ormiae","euphilotes battoides allyni","psychoglypha ormiae","euphilotes battoides allyni","0.0","0.0"
"LinearCombinationMatchingRule","BIO31001","ES1505","0.0",,"paederus sp. 110","hylaeus hilaris","paederus sp. 110","hylaeus hilaris","0.0","0.0"
"LinearCombinationMatchingRule","BIO15043","ES1464","0.0",,"elaphropus xanthopus","speyeria zerene behrensii","elaphropus xanthopus","speyeria zerene behrensii","0.0","0.0"
"LinearCombinationMatchingRule","BIO21986","ES1379","0.0",,"idiacanthus","etheostoma percnurum","idiacanthus","etheostoma percnurum","0.0","0.0"
"LinearCombinationMatchingRule","BIO17949","ES1531","0.0",,"forbesichthys agassizii","rhinichthys osculus thermalis","forbesichthys agassizii","rhinichthys osculus thermalis","0.0","0.0"
"LinearCombinationMatchingRule","BIO29472","ES1379","0.0",,"noturus baileyi","etheostoma percnurum","noturus baileyi","etheostoma percnurum","0.0","0.0"
"LinearCombinationMatchingRule","BIO15167","ES1327","0.0",,"elgaria coerulea palmeri","gopherus polyphemus","elgaria coerulea palmeri","gopherus polyphemus","0.0","0.0"
"LinearCombinationMatchingRule","BIO23159","ES1069","0.0",,"laemostenus complanatus","cicindela puritana","laemostenus complanatus","cicindela puritana","0.0","0.0"
"LinearCombinationMatchingRule","BIO17423","ES1024","0.0",,"eurynogaster obscurifacies","hesperia dacotae","eurynogaster obscurifacies","hesperia dacotae","0.0","0.0"
"LinearCombinationMatchingRule","BIO39793","ES1204","0.0",,"semiothisa adonis","dinacoma caseyi","semiothisa adonis","dinacoma caseyi","0.0","0.0"
"LinearCombinationMatchingRule","BIO30471","ES1290","0.0",,"orimarga","batrisodes texanus","orimarga","batrisodes texanus","0.0","0.0"
"LinearCombinationMatchingRule","BIO42450","ES1588","0.0",,"synanthedon tacoma","brychius hungerfordi","synanthedon tacoma","brychius hungerfordi","0.0","0.0"
"LinearCombinationMatchingRule","BIO42528","ES1653","0.0",,"synthliboramphus antiquus","rostrhamus sociabilis plumbeus","synthliboramphus antiquus","rostrhamus sociabilis plumbeus","0.0","0.0"
