"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] StringAttributeComparatorJaccard record1Value","[0] StringAttributeComparatorJaccard record2Value","[0] StringAttributeComparatorJaccard record1PreprocessedValue","[0] StringAttributeComparatorJaccard record2PreprocessedValue","[0] StringAttributeComparatorJaccard similarity","[0] StringAttributeComparatorJaccard postproccesedSimilarity"
"LinearCombinationMatchingRule","ES1554","BIO10743","0.3333333333333333",,"coccyzus americanus","coccyzus minor","coccyzus americanus","coccyzus minor","0.3333333333333333","0.3333333333333333"
"LinearCombinationMatchingRule","ES1171","BIO01673","0.3333333333333333",,"ambystoma cingulatum","ambystoma talpoideum","ambystoma cingulatum","ambystoma talpoideum","0.3333333333333333","0.3333333333333333"
"LinearCombinationMatchingRule","ES1032","BIO09195","0.0",,"chasmistes cujus","chasmodes","chasmistes cujus","chasmodes","0.0","0.0"
"LinearCombinationMatchingRule","ES1056","BIO37487","0.0",,"rhinichthys osculus nevadensis","rhizoprionodon terraenovae","rhinichthys osculus nevadensis","rhizoprionodon terraenovae","0.0","0.0"
"LinearCombinationMatchingRule","ES1032","BIO09197","0.0",,"chasmistes cujus","chasmodes saburrae","chasmistes cujus","chasmodes saburrae","0.0","0.0"
"LinearCombinationMatchingRule","ES1473","BIO42718","0.5",,"tamiasciurus hudsonicus grahamensis","tamiasciurus hudsonicus regalis","tamiasciurus hudsonicus grahamensis","tamiasciurus hudsonicus regalis","0.5","0.5"
"LinearCombinationMatchingRule","ES1382","BIO29455","0.0",,"noturus furiosus","notropis hudsonius","noturus furiosus","notropis hudsonius","0.0","0.0"
"LinearCombinationMatchingRule","ES1354","BIO37052","0.25",,"rana sevosa","rana pipiens brachycephala","rana sevosa","rana pipiens brachycephala","0.25","0.25"
"LinearCombinationMatchingRule","ES1233","BIO05816","0.3333333333333333",,"brachyramphus marmoratus","brachyrampus marmoratus","brachyramphus marmoratus","brachyrampus marmoratus","0.3333333333333333","0.3333333333333333"
"LinearCombinationMatchingRule","ES1075","BIO29465","0.3333333333333333",,"notropis buccula","notropis spectrunculus","notropis buccula","notropis spectrunculus","0.3333333333333333","0.3333333333333333"
"LinearCombinationMatchingRule","ES1057","BIO16834","0.3333333333333333",,"etheostoma fonticola","etheostoma spectabile","etheostoma fonticola","etheostoma spectabile","0.3333333333333333","0.3333333333333333"
"LinearCombinationMatchingRule","ES1057","BIO16833","0.3333333333333333",,"etheostoma fonticola","etheostoma simoterum","etheostoma fonticola","etheostoma simoterum","0.3333333333333333","0.3333333333333333"
"LinearCombinationMatchingRule","ES1602","BIO26945","0.0",,"melamprosops phaeosoma","melospiza melodia juddi","melamprosops phaeosoma","melospiza melodia juddi","0.0","0.0"
"LinearCombinationMatchingRule","ES1376","BIO16832","0.3333333333333333",,"etheostoma chienense","etheostoma serrifer","etheostoma chienense","etheostoma serrifer","0.3333333333333333","0.3333333333333333"
"LinearCombinationMatchingRule","ES1376","BIO16839","0.3333333333333333",,"etheostoma chienense","etheostoma vulneratum","etheostoma chienense","etheostoma vulneratum","0.3333333333333333","0.3333333333333333"
"LinearCombinationMatchingRule","ES1554","BIO10732","0.0",,"coccyzus americanus","coccothraustes vespertinus","coccyzus americanus","coccothraustes vespertinus","0.0","0.0"
"LinearCombinationMatchingRule","ES1059","BIO35952","0.0",,"pseudocopaeodes eunus obscurus","pseudaletia amblycasis","pseudocopaeodes eunus obscurus","pseudaletia amblycasis","0.0","0.0"
"LinearCombinationMatchingRule","ES1059","BIO35953","0.0",,"pseudocopaeodes eunus obscurus","pseudaletia dasuta","pseudocopaeodes eunus obscurus","pseudaletia dasuta","0.0","0.0"
"LinearCombinationMatchingRule","ES1354","BIO37048","0.3333333333333333",,"rana sevosa","rana luteiventris","rana sevosa","rana luteiventris","0.3333333333333333","0.3333333333333333"
"LinearCombinationMatchingRule","ES1288","BIO39069","0.3333333333333333",,"scaphirhynchus suttkusi","scaphirhynchus platorynchus","scaphirhynchus suttkusi","scaphirhynchus platorynchus","0.3333333333333333","0.3333333333333333"
"LinearCombinationMatchingRule","ES1473","BIO42707","0.0",,"tamiasciurus hudsonicus grahamensis","tamias siskiyou","tamiasciurus hudsonicus grahamensis","tamias siskiyou","0.0","0.0"
"LinearCombinationMatchingRule","ES1415","BIO12734","0.0",,"cyprinodon elegans","cypselurus furcatus","cyprinodon elegans","cypselurus furcatus","0.0","0.0"
"LinearCombinationMatchingRule","ES1638","BIO27464","0.25",,"microtus californicus scirpensis","microtus montanus montanus","microtus californicus scirpensis","microtus montanus montanus","0.25","0.25"
"LinearCombinationMatchingRule","ES1638","BIO27463","0.25",,"microtus californicus scirpensis","microtus montanus","microtus californicus scirpensis","microtus montanus","0.25","0.25"
"LinearCombinationMatchingRule","ES1593","BIO25737","0.2",,"lycaeides melissa samuelis","lycaeides argyrognomon ricei","lycaeides melissa samuelis","lycaeides argyrognomon ricei","0.2","0.2"
"LinearCombinationMatchingRule","ES1600","BIO37056","0.3333333333333333",,"rana chiricahuensis","rana septentrionalis","rana chiricahuensis","rana septentrionalis","0.3333333333333333","0.3333333333333333"
"LinearCombinationMatchingRule","ES1057","BIO16821","0.3333333333333333",,"etheostoma fonticola","etheostoma lepidum","etheostoma fonticola","etheostoma lepidum","0.3333333333333333","0.3333333333333333"
"LinearCombinationMatchingRule","ES1473","BIO42706","0.0",,"tamiasciurus hudsonicus grahamensis","tamias senex senex","tamiasciurus hudsonicus grahamensis","tamias senex senex","0.0","0.0"
"LinearCombinationMatchingRule","ES1057","BIO16822","0.3333333333333333",,"etheostoma fonticola","etheostoma maculatum","etheostoma fonticola","etheostoma maculatum","0.3333333333333333","0.3333333333333333"
"LinearCombinationMatchingRule","ES1474","BIO18922","0.0",,"gila intermedia","gillellus greyae","gila intermedia","gillellus greyae","0.0","0.0"
"LinearCombinationMatchingRule","ES1376","BIO16828","0.3333333333333333",,"etheostoma chienense","etheostoma radiosum","etheostoma chienense","etheostoma radiosum","0.3333333333333333","0.3333333333333333"
"LinearCombinationMatchingRule","ES1552","BIO01665","0.3333333333333333",,"ambystoma bishopi","ambystoma laterale","ambystoma bishopi","ambystoma laterale","0.3333333333333333","0.3333333333333333"
"LinearCombinationMatchingRule","ES1552","BIO01666","0.3333333333333333",,"ambystoma bishopi","ambystoma mabeei","ambystoma bishopi","ambystoma mabeei","0.3333333333333333","0.3333333333333333"
"LinearCombinationMatchingRule","ES1569","BIO11017","0.0",,"columba inornata wetmorei","columbina passerina","columba inornata wetmorei","columbina passerina","0.0","0.0"
"LinearCombinationMatchingRule","ES1376","BIO16827","0.3333333333333333",,"etheostoma chienense","etheostoma proeliare","etheostoma chienense","etheostoma proeliare","0.3333333333333333","0.3333333333333333"
"LinearCombinationMatchingRule","ES1057","BIO16829","0.3333333333333333",,"etheostoma fonticola","etheostoma rafinesquei","etheostoma fonticola","etheostoma rafinesquei","0.3333333333333333","0.3333333333333333"
"LinearCombinationMatchingRule","ES1376","BIO16820","0.3333333333333333",,"etheostoma chienense","etheostoma kennicotti","etheostoma chienense","etheostoma kennicotti","0.3333333333333333","0.3333333333333333"
"LinearCombinationMatchingRule","ES1638","BIO27459","0.2",,"microtus californicus scirpensis","microtus longicaudus sierrae","microtus californicus scirpensis","microtus longicaudus sierrae","0.2","0.2"
"LinearCombinationMatchingRule","ES1352","BIO30092","0.6666666666666666",,"oncorhynchus clarkii stomias","oncorhynchus clarkii","oncorhynchus clarkii stomias","oncorhynchus clarkii","0.6666666666666666","0.6666666666666666"
"LinearCombinationMatchingRule","ES1533","BIO12700","0.3333333333333333",,"cyprinodon bovinus","cyprinodon diabolis","cyprinodon bovinus","cyprinodon diabolis","0.3333333333333333","0.3333333333333333"
"LinearCombinationMatchingRule","ES1638","BIO27475","0.25",,"microtus californicus scirpensis","microtus townsendii","microtus californicus scirpensis","microtus townsendii","0.25","0.25"
"LinearCombinationMatchingRule","ES1638","BIO27476","0.25",,"microtus californicus scirpensis","microtus xanthognathus","microtus californicus scirpensis","microtus xanthognathus","0.25","0.25"
"LinearCombinationMatchingRule","ES1352","BIO30091","0.2",,"oncorhynchus clarkii stomias","oncorhynchus clarki behnkei","oncorhynchus clarkii stomias","oncorhynchus clarki behnkei","0.2","0.2"
"LinearCombinationMatchingRule","ES1057","BIO16817","0.3333333333333333",,"etheostoma fonticola","etheostoma gutselli","etheostoma fonticola","etheostoma gutselli","0.3333333333333333","0.3333333333333333"
"LinearCombinationMatchingRule","ES1600","BIO37045","0.3333333333333333",,"rana chiricahuensis","rana draytonii","rana chiricahuensis","rana draytonii","0.3333333333333333","0.3333333333333333"
"LinearCombinationMatchingRule","ES1075","BIO29481","0.0",,"notropis buccula","noturus leptacanthus","notropis buccula","noturus leptacanthus","0.0","0.0"
"LinearCombinationMatchingRule","ES1600","BIO37044","0.25",,"rana chiricahuensis","rana clamitans melanota","rana chiricahuensis","rana clamitans melanota","0.25","0.25"
"LinearCombinationMatchingRule","ES1075","BIO29482","0.0",,"notropis buccula","noturus miurus","notropis buccula","noturus miurus","0.0","0.0"
"LinearCombinationMatchingRule","ES1352","BIO30099","0.5",,"oncorhynchus clarkii stomias","oncorhynchus clarkii utah","oncorhynchus clarkii stomias","oncorhynchus clarkii utah","0.5","0.5"
"LinearCombinationMatchingRule","ES1552","BIO01678","0.3333333333333333",,"ambystoma bishopi","ambystoma tigrinum tigrinum","ambystoma bishopi","ambystoma tigrinum tigrinum","0.3333333333333333","0.3333333333333333"
"LinearCombinationMatchingRule","ES1376","BIO16816","0.3333333333333333",,"etheostoma chienense","etheostoma fusiforme","etheostoma chienense","etheostoma fusiforme","0.3333333333333333","0.3333333333333333"
"LinearCombinationMatchingRule","ES1552","BIO01677","0.25",,"ambystoma bishopi","ambystoma tigrinum nebulosum","ambystoma bishopi","ambystoma tigrinum nebulosum","0.25","0.25"
"LinearCombinationMatchingRule","ES1376","BIO16815","0.3333333333333333",,"etheostoma chienense","etheostoma flabellare","etheostoma chienense","etheostoma flabellare","0.3333333333333333","0.3333333333333333"
"LinearCombinationMatchingRule","ES1552","BIO01670","0.25",,"ambystoma bishopi","ambystoma mavortium melanostictum","ambystoma bishopi","ambystoma mavortium melanostictum","0.25","0.25"
"LinearCombinationMatchingRule","ES1414","BIO34673","0.0",,"poeciliopsis occidentalis","poecilia latipinna","poeciliopsis occidentalis","poecilia latipinna","0.0","0.0"
"LinearCombinationMatchingRule","ES1027","BIO18438","0.0",,"gallicolumba stairi","gallinago gallinago delicata","gallicolumba stairi","gallinago gallinago delicata","0.0","0.0"
"LinearCombinationMatchingRule","ES1533","BIO12708","0.0",,"cyprinodon bovinus","cyprinus carpio","cyprinodon bovinus","cyprinus carpio","0.0","0.0"
"LinearCombinationMatchingRule","ES1027","BIO18437","0.0",,"gallicolumba stairi","gallinago gallinago","gallicolumba stairi","gallinago gallinago","0.0","0.0"
"LinearCombinationMatchingRule","ES946","BIO38621","0.0",,"salmo salar","salvelinus confluentus","salmo salar","salvelinus confluentus","0.0","0.0"
"LinearCombinationMatchingRule","ES946","BIO38622","0.0",,"salmo salar","salvelinus confluentus x salvelinus fontinalis","salmo salar","salvelinus confluentus x salvelinus fontinalis","0.0","0.0"
"LinearCombinationMatchingRule","ES1432","BIO06335","0.25",,"bufo hemiophrys baxteri","bufo valliceps","bufo hemiophrys baxteri","bufo valliceps","0.25","0.25"
"LinearCombinationMatchingRule","ES1578","BIO01676","0.2",,"ambystoma macrodactylum croceum","ambystoma tigrinum melanostictum","ambystoma macrodactylum croceum","ambystoma tigrinum melanostictum","0.2","0.2"
"LinearCombinationMatchingRule","ES1382","BIO29483","0.3333333333333333",,"noturus furiosus","noturus nocturnus","noturus furiosus","noturus nocturnus","0.3333333333333333","0.3333333333333333"
"LinearCombinationMatchingRule","ES1514","BIO14027","0.3333333333333333",,"dipodomys ingens","dipodomys merriami","dipodomys ingens","dipodomys merriami","0.3333333333333333","0.3333333333333333"
"LinearCombinationMatchingRule","ES957","BIO29444","0.0",,"noturus placidus","notropis boops","noturus placidus","notropis boops","0.0","0.0"
"LinearCombinationMatchingRule","ES1514","BIO14031","0.3333333333333333",,"dipodomys ingens","dipodomys ordii","dipodomys ingens","dipodomys ordii","0.3333333333333333","0.3333333333333333"
"LinearCombinationMatchingRule","ES985","BIO29456","0.0",,"noturus flavipinnis","notropis jemezanus","noturus flavipinnis","notropis jemezanus","0.0","0.0"
"LinearCombinationMatchingRule","ES985","BIO29455","0.0",,"noturus flavipinnis","notropis hudsonius","noturus flavipinnis","notropis hudsonius","0.0","0.0"
"LinearCombinationMatchingRule","ES1483","BIO12568","0.3333333333333333",,"cynomys parvidens","cynomys ludovicianus ludovicianus","cynomys parvidens","cynomys ludovicianus ludovicianus","0.3333333333333333","0.3333333333333333"
"LinearCombinationMatchingRule","ES1520","BIO44675","0.3333333333333333",,"urocyon littoralis catalinae","urocyon","urocyon littoralis catalinae","urocyon","0.3333333333333333","0.3333333333333333"
"LinearCombinationMatchingRule","ES1045","BIO16833","0.3333333333333333",,"etheostoma okaloosae","etheostoma simoterum","etheostoma okaloosae","etheostoma simoterum","0.3333333333333333","0.3333333333333333"
"LinearCombinationMatchingRule","ES1432","BIO06323","0.25",,"bufo hemiophrys baxteri","bufo fowleri","bufo hemiophrys baxteri","bufo fowleri","0.25","0.25"
"LinearCombinationMatchingRule","ES1578","BIO01664","0.25",,"ambystoma macrodactylum croceum","ambystoma jeffersonianum","ambystoma macrodactylum croceum","ambystoma jeffersonianum","0.25","0.25"
"LinearCombinationMatchingRule","ES957","BIO29460","0.0",,"noturus placidus","notropis petersoni","noturus placidus","notropis petersoni","0.0","0.0"
"LinearCombinationMatchingRule","ES964","BIO08334","0.25",,"catostomus discobolus yarrowi","catostomus ardens","catostomus discobolus yarrowi","catostomus ardens","0.25","0.25"
"LinearCombinationMatchingRule","ES964","BIO08335","0.3333333333333333",,"catostomus discobolus yarrowi","catostomus catostomus","catostomus discobolus yarrowi","catostomus catostomus","0.3333333333333333","0.3333333333333333"
"LinearCombinationMatchingRule","ES1016","BIO17400","0.3333333333333333",,"eurycea chisholmensis","eurycea longicauda longicauda","eurycea chisholmensis","eurycea longicauda longicauda","0.3333333333333333","0.3333333333333333"
"LinearCombinationMatchingRule","ES1273","BIO28916","0.0",,"neonympha mitchellii mitchellii","neothrema","neonympha mitchellii mitchellii","neothrema","0.0","0.0"
"LinearCombinationMatchingRule","ES957","BIO29456","0.0",,"noturus placidus","notropis jemezanus","noturus placidus","notropis jemezanus","0.0","0.0"
"LinearCombinationMatchingRule","ES997","BIO38592","0.16666666666666666",,"salvelinus confluentus","salmo trutta x salvelinus fontinalis","salvelinus confluentus","salmo trutta x salvelinus fontinalis","0.16666666666666666","0.16666666666666666"
"LinearCombinationMatchingRule","ES997","BIO38591","0.0",,"salvelinus confluentus","salmo trutta","salvelinus confluentus","salmo trutta","0.0","0.0"
"LinearCombinationMatchingRule","ES1514","BIO14020","0.5",,"dipodomys ingens","dipodomys","dipodomys ingens","dipodomys","0.5","0.5"
"LinearCombinationMatchingRule","ES1594","BIO36974","0.6666666666666666",,"rallus longirostris obsoletus","rallus longirostris","rallus longirostris obsoletus","rallus longirostris","0.6666666666666666","0.6666666666666666"
"LinearCombinationMatchingRule","ES985","BIO29444","0.0",,"noturus flavipinnis","notropis boops","noturus flavipinnis","notropis boops","0.0","0.0"
"LinearCombinationMatchingRule","ES1594","BIO36973","0.25",,"rallus longirostris obsoletus","rallus limicola","rallus longirostris obsoletus","rallus limicola","0.25","0.25"
"LinearCombinationMatchingRule","ES1382","BIO29467","0.0",,"noturus furiosus","notropis stramineus","noturus furiosus","notropis stramineus","0.0","0.0"
"LinearCombinationMatchingRule","ES1557","BIO34380","1.0",,"plethodon shenandoah","plethodon shenandoah","plethodon shenandoah","plethodon shenandoah","1.0","1.0"
"LinearCombinationMatchingRule","ES1432","BIO06311","0.3333333333333333",,"bufo hemiophrys baxteri","bufo","bufo hemiophrys baxteri","bufo","0.3333333333333333","0.3333333333333333"
"LinearCombinationMatchingRule","ES1045","BIO16821","0.3333333333333333",,"etheostoma okaloosae","etheostoma lepidum","etheostoma okaloosae","etheostoma lepidum","0.3333333333333333","0.3333333333333333"
"LinearCombinationMatchingRule","ES1267","BIO12689","0.0",,"cyprinodon nevadensis pectoralis","cyprinella galactura","cyprinodon nevadensis pectoralis","cyprinella galactura","0.0","0.0"
"LinearCombinationMatchingRule","ES1432","BIO06319","0.2",,"bufo hemiophrys baxteri","bufo boreas nelsoni","bufo hemiophrys baxteri","bufo boreas nelsoni","0.2","0.2"
"LinearCombinationMatchingRule","ES1305","BIO43118","0.25",,"thamnophis gigas","thamnophis atratus zaxanthus","thamnophis gigas","thamnophis atratus zaxanthus","0.25","0.25"
"LinearCombinationMatchingRule","ES1305","BIO43117","0.25",,"thamnophis gigas","thamnophis atratus hydrophilus","thamnophis gigas","thamnophis atratus hydrophilus","0.25","0.25"
"LinearCombinationMatchingRule","ES1557","BIO34375","0.3333333333333333",,"plethodon shenandoah","plethodon oconaluftee","plethodon shenandoah","plethodon oconaluftee","0.3333333333333333","0.3333333333333333"
"LinearCombinationMatchingRule","ES997","BIO38588","0.0",,"salvelinus confluentus","salmo gairdnerii","salvelinus confluentus","salmo gairdnerii","0.0","0.0"
"LinearCombinationMatchingRule","ES1557","BIO34376","0.3333333333333333",,"plethodon shenandoah","plethodon punctatus","plethodon shenandoah","plethodon punctatus","0.3333333333333333","0.3333333333333333"
"LinearCombinationMatchingRule","ES1045","BIO16829","0.3333333333333333",,"etheostoma okaloosae","etheostoma rafinesquei","etheostoma okaloosae","etheostoma rafinesquei","0.3333333333333333","0.3333333333333333"
"LinearCombinationMatchingRule","ES1382","BIO29479","0.3333333333333333",,"noturus furiosus","noturus insignis","noturus furiosus","noturus insignis","0.3333333333333333","0.3333333333333333"
"LinearCombinationMatchingRule","ES1085","BIO26485","0.25",,"masticophis lateralis euryxanthus","masticophis flagellum flagellum","masticophis lateralis euryxanthus","masticophis flagellum flagellum","0.25","0.25"
"LinearCombinationMatchingRule","ES1045","BIO16810","0.3333333333333333",,"etheostoma okaloosae","etheostoma camurum","etheostoma okaloosae","etheostoma camurum","0.3333333333333333","0.3333333333333333"
"LinearCombinationMatchingRule","ES1415","BIO12706","0.3333333333333333",,"cyprinodon elegans","cyprinodon salinus","cyprinodon elegans","cyprinodon salinus","0.3333333333333333","0.3333333333333333"
"LinearCombinationMatchingRule","ES1382","BIO29471","0.3333333333333333",,"noturus furiosus","noturus albater","noturus furiosus","noturus albater","0.3333333333333333","0.3333333333333333"
"LinearCombinationMatchingRule","ES1171","BIO01669","0.3333333333333333",,"ambystoma cingulatum","ambystoma maculatum","ambystoma cingulatum","ambystoma maculatum","0.3333333333333333","0.3333333333333333"
"LinearCombinationMatchingRule","ES1527","BIO17402","0.25",,"eurycea sosorum","eurycea multiplicata griseogaster","eurycea sosorum","eurycea multiplicata griseogaster","0.25","0.25"
"LinearCombinationMatchingRule","ES1527","BIO17403","0.3333333333333333",,"eurycea sosorum","eurycea quadridigitata","eurycea sosorum","eurycea quadridigitata","0.3333333333333333","0.3333333333333333"
"LinearCombinationMatchingRule","ES1305","BIO43129","0.3333333333333333",,"thamnophis gigas","thamnophis ordinoides","thamnophis gigas","thamnophis ordinoides","0.3333333333333333","0.3333333333333333"
"LinearCombinationMatchingRule","ES1171","BIO01661","0.5",,"ambystoma cingulatum","ambystoma","ambystoma cingulatum","ambystoma","0.5","0.5"
"LinearCombinationMatchingRule","ES1602","BIO26765","0.0",,"melamprosops phaeosoma","melanerpes lewis","melamprosops phaeosoma","melanerpes lewis","0.0","0.0"
"LinearCombinationMatchingRule","ES1557","BIO34363","0.3333333333333333",,"plethodon shenandoah","plethodon chlorobryonis","plethodon shenandoah","plethodon chlorobryonis","0.3333333333333333","0.3333333333333333"
"LinearCombinationMatchingRule","ES1525","BIO16815","0.3333333333333333",,"etheostoma boschungi","etheostoma flabellare","etheostoma boschungi","etheostoma flabellare","0.3333333333333333","0.3333333333333333"
"LinearCombinationMatchingRule","ES1305","BIO43122","0.3333333333333333",,"thamnophis gigas","thamnophis elegans","thamnophis gigas","thamnophis elegans","0.3333333333333333","0.3333333333333333"
"LinearCombinationMatchingRule","ES1045","BIO16817","0.3333333333333333",,"etheostoma okaloosae","etheostoma gutselli","etheostoma okaloosae","etheostoma gutselli","0.3333333333333333","0.3333333333333333"
"LinearCombinationMatchingRule","ES1286","BIO32486","0.25",,"peromyscus polionotus ammobates","peromyscus merriami","peromyscus polionotus ammobates","peromyscus merriami","0.25","0.25"
"LinearCombinationMatchingRule","ES1038","BIO16830","0.3333333333333333",,"etheostoma wapiti","etheostoma rufilineatum","etheostoma wapiti","etheostoma rufilineatum","0.3333333333333333","0.3333333333333333"
"LinearCombinationMatchingRule","ES1101","BIO11481","0.5",,"corvus hawaiiensis","corvus","corvus hawaiiensis","corvus","0.5","0.5"
"LinearCombinationMatchingRule","ES1518","BIO37047","0.3333333333333333",,"rana pretiosa","rana grylio","rana pretiosa","rana grylio","0.3333333333333333","0.3333333333333333"
"LinearCombinationMatchingRule","ES1331","BIO43124","0.2",,"thamnophis sirtalis tetrataenia","thamnophis elegans terrestris","thamnophis sirtalis tetrataenia","thamnophis elegans terrestris","0.2","0.2"
"LinearCombinationMatchingRule","ES1518","BIO37046","0.3333333333333333",,"rana pretiosa","rana fisheri","rana pretiosa","rana fisheri","0.3333333333333333","0.3333333333333333"
"LinearCombinationMatchingRule","ES1038","BIO16837","0.3333333333333333",,"etheostoma wapiti","etheostoma swannanoa","etheostoma wapiti","etheostoma swannanoa","0.3333333333333333","0.3333333333333333"
"LinearCombinationMatchingRule","ES1038","BIO16838","0.3333333333333333",,"etheostoma wapiti","etheostoma tippecanoe","etheostoma wapiti","etheostoma tippecanoe","0.3333333333333333","0.3333333333333333"
"LinearCombinationMatchingRule","ES1101","BIO11244","0.0",,"corvus hawaiiensis","coragyps atratus","corvus hawaiiensis","coragyps atratus","0.0","0.0"
"LinearCombinationMatchingRule","ES1101","BIO11489","1.0",,"corvus hawaiiensis","corvus hawaiiensis","corvus hawaiiensis","corvus hawaiiensis","1.0","1.0"
"LinearCombinationMatchingRule","ES1430","BIO16838","0.3333333333333333",,"etheostoma nuchale","etheostoma tippecanoe","etheostoma nuchale","etheostoma tippecanoe","0.3333333333333333","0.3333333333333333"
"LinearCombinationMatchingRule","ES1430","BIO16837","0.3333333333333333",,"etheostoma nuchale","etheostoma swannanoa","etheostoma nuchale","etheostoma swannanoa","0.3333333333333333","0.3333333333333333"
"LinearCombinationMatchingRule","ES1101","BIO11488","0.3333333333333333",,"corvus hawaiiensis","corvus cryptoleucus","corvus hawaiiensis","corvus cryptoleucus","0.3333333333333333","0.3333333333333333"
"LinearCombinationMatchingRule","ES1591","BIO18238","0.3333333333333333",,"fundulus julisia","fundulus kansae","fundulus julisia","fundulus kansae","0.3333333333333333","0.3333333333333333"
"LinearCombinationMatchingRule","ES1591","BIO18237","0.3333333333333333",,"fundulus julisia","fundulus heteroclitus","fundulus julisia","fundulus heteroclitus","0.3333333333333333","0.3333333333333333"
"LinearCombinationMatchingRule","ES1509","BIO26678","0.0",,"megalagrion nesiotes","megarcys watertoni","megalagrion nesiotes","megarcys watertoni","0.0","0.0"
"LinearCombinationMatchingRule","ES1591","BIO18230","0.5",,"fundulus julisia","fundulus","fundulus julisia","fundulus","0.5","0.5"
"LinearCombinationMatchingRule","ES1305","BIO43134","0.3333333333333333",,"thamnophis gigas","thamnophis radix","thamnophis gigas","thamnophis radix","0.3333333333333333","0.3333333333333333"
"LinearCombinationMatchingRule","ES1472","BIO17400","0.3333333333333333",,"eurycea naufragia","eurycea longicauda longicauda","eurycea naufragia","eurycea longicauda longicauda","0.3333333333333333","0.3333333333333333"
"LinearCombinationMatchingRule","ES1507","BIO16829","0.3333333333333333",,"etheostoma osburni","etheostoma rafinesquei","etheostoma osburni","etheostoma rafinesquei","0.3333333333333333","0.3333333333333333"
"LinearCombinationMatchingRule","ES1283","BIO16807","0.3333333333333333",,"etheostoma etowahae","etheostoma bellum","etheostoma etowahae","etheostoma bellum","0.3333333333333333","0.3333333333333333"
"LinearCombinationMatchingRule","ES1243","BIO28307","0.3333333333333333",,"myotis septentrionalis","myotis ciliolabrum","myotis septentrionalis","myotis ciliolabrum","0.3333333333333333","0.3333333333333333"
"LinearCombinationMatchingRule","ES1267","BIO12693","0.0",,"cyprinodon nevadensis pectoralis","cyprinella nivea","cyprinodon nevadensis pectoralis","cyprinella nivea","0.0","0.0"
"LinearCombinationMatchingRule","ES1518","BIO37034","0.3333333333333333",,"rana pretiosa","rana aurora aurora","rana pretiosa","rana aurora aurora","0.3333333333333333","0.3333333333333333"
"LinearCombinationMatchingRule","ES1267","BIO12694","0.0",,"cyprinodon nevadensis pectoralis","cyprinella spiloptera","cyprinodon nevadensis pectoralis","cyprinella spiloptera","0.0","0.0"
"LinearCombinationMatchingRule","ES1518","BIO37035","0.25",,"rana pretiosa","rana aurora draytonii","rana pretiosa","rana aurora draytonii","0.25","0.25"
"LinearCombinationMatchingRule","ES1430","BIO16825","0.3333333333333333",,"etheostoma nuchale","etheostoma pallididorsum","etheostoma nuchale","etheostoma pallididorsum","0.3333333333333333","0.3333333333333333"
"LinearCombinationMatchingRule","ES1038","BIO16826","0.3333333333333333",,"etheostoma wapiti","etheostoma percnurum","etheostoma wapiti","etheostoma percnurum","0.3333333333333333","0.3333333333333333"
